time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0341,veh2,drop_decision_no_action,8,2727,1383,-1,-1,-1,-1,-1
10.0416,veh2,drop_decision_no_action,3,2751,1391,-1,-1,-1,-1,-1
10.0536,veh2,drop_decision_no_action,12,699720506231,1417,-1,-1,-1,-1,-1
10.0546,veh2,drop_decision_no_action,9,2792,1414,-1,-1,-1,-1,-1
10.0638,veh2,drop_decision_no_action,6,699720506259,1434,-1,-1,-1,-1,-1
10.1116,veh2,drop_decision_no_action,5,3016,1506,-1,-1,-1,-1,-1
10.1136,veh2,drop_decision_no_action,12,3007,1488,-1,-1,-1,-1,-1
10.1173,veh2,drop_decision_no_action,11,2915,1486,-1,-1,-1,-1,-1
10.1491,veh2,drop_decision_no_action,7,3107,1577,-1,-1,-1,-1,-1
10.1638,veh2,drop_decision_no_action,6,699720506580,1603,-1,-1,-1,-1,-1
10.1833,veh2,drop_decision_no_action,4,699720506589,1630,-1,-1,-1,-1,-1
10.2173,veh2,drop_decision_no_action,11,3199,1671,-1,-1,-1,-1,-1
10.2316,veh2,drop_decision_no_action,5,699720506762,1704,-1,-1,-1,-1,-1
10.2341,veh2,drop_decision_no_action,8,3340,1721,-1,-1,-1,-1,-1
10.2416,veh2,drop_decision_no_action,3,699720506788,1731,-1,-1,-1,-1,-1
10.2901,veh2,drop_decision_no_action,10,3428,1795,-1,-1,-1,-1,-1
10.2941,veh2,drop_decision_no_action,8,699720506867,1802,-1,-1,-1,-1,-1
10.3116,veh2,drop_decision_no_action,5,3562,1842,-1,-1,-1,-1,-1
10.3233,veh2,drop_decision_no_action,4,3594,1868,-1,-1,-1,-1,-1
10.3491,veh2,drop_decision_no_action,7,699720507058,1906,-1,-1,-1,-1,-1
10.3638,veh2,drop_decision_no_action,6,3661,1931,-1,-1,-1,-1,-1
10.3833,veh2,drop_decision_no_action,4,699720507117,1954,-1,-1,-1,-1,-1
10.4136,veh2,drop_decision_no_action,12,3825,1993,-1,-1,-1,-1,-1
10.4173,veh2,drop_decision_no_action,11,3732,1992,-1,-1,-1,-1,-1
10.4316,veh2,drop_decision_no_action,5,699720507295,2030,-1,-1,-1,-1,-1
10.4341,veh2,drop_decision_no_action,8,3873,2050,-1,-1,-1,-1,-1
10.4416,veh2,drop_decision_no_action,3,699720507319,2061,-1,-1,-1,-1,-1
10.4491,veh2,drop_decision_no_action,7,699720507322,2062,-1,-1,-1,-1,-1
10.5173,veh2,drop_decision_no_action,11,3985,2144,-1,-1,-1,-1,-1
10.5233,veh2,drop_decision_no_action,4,4109,2180,-1,-1,-1,-1,-1
10.5491,veh2,drop_decision_no_action,7,699720507577,2219,-1,-1,-1,-1,-1
10.5546,veh2,drop_decision_no_action,9,4167,2240,-1,-1,-1,-1,-1
10.5941,veh2,drop_decision_no_action,8,699720507661,2301,-1,-1,-1,-1,-1
10.6136,veh2,drop_decision_no_action,12,4352,2324,-1,-1,-1,-1,-1
10.6316,veh2,drop_decision_no_action,5,699720507827,2366,-1,-1,-1,-1,-1
10.6341,veh2,drop_decision_no_action,8,4405,2386,-1,-1,-1,-1,-1
10.6901,veh2,drop_decision_no_action,10,4500,2462,-1,-1,-1,-1,-1
10.7101,veh2,drop_decision_no_action,10,699720508067,2505,-1,-1,-1,-1,-1
10.7116,veh2,drop_decision_no_action,5,4631,2504,-1,-1,-1,-1,-1
10.7136,veh2,drop_decision_no_action,12,4623,2493,-1,-1,-1,-1,-1
10.7363,veh2,drop_decision_no_action,4,4654,2530,-1,-1,-1,-1,-1
10.7536,veh2,drop_decision_no_action,12,699720508143,2584,-1,-1,-1,-1,-1
10.7546,veh2,drop_decision_no_action,9,4707,2582,-1,-1,-1,-1,-1
10.7548,veh2,drop_decision_no_action,7,699720508121,2564,-1,-1,-1,-1,-1
10.7638,veh2,drop_decision_no_action,6,4714,2585,-1,-1,-1,-1,-1
10.8136,veh2,drop_decision_no_action,12,4874,2658,-1,-1,-1,-1,-1
10.8173,veh2,drop_decision_no_action,11,4781,2657,-1,-1,-1,-1,-1
10.8341,veh2,drop_decision_no_action,8,4913,2705,-1,-1,-1,-1,-1
10.8416,veh2,drop_decision_no_action,3,4925,2715,-1,-1,-1,-1,-1
10.8416,veh2,drop_decision_no_action,3,699720508362,2715,-1,-1,-1,-1,-1
10.8548,veh2,drop_decision_no_action,7,699720508365,2719,-1,-1,-1,-1,-1
10.8746,veh2,drop_decision_no_action,9,699720508401,2754,-1,-1,-1,-1,-1
10.8901,veh2,drop_decision_no_action,10,4992,2773,-1,-1,-1,-1,-1
10.9173,veh2,drop_decision_no_action,11,5022,2797,-1,-1,-1,-1,-1
10.9363,veh2,drop_decision_no_action,4,5153,2837,-1,-1,-1,-1,-1
10.9461,veh2,drop_decision_no_action,3,699720508607,2871,-1,-1,-1,-1,-1
10.9536,veh2,drop_decision_no_action,12,699720508645,2898,-1,-1,-1,-1,-1
10.9546,veh2,drop_decision_no_action,9,5210,2896,-1,-1,-1,-1,-1
10.9548,veh2,drop_decision_no_action,7,5186,2872,-1,-1,-1,-1,-1
10.9763,veh2,drop_decision_no_action,4,699720508675,2933,-1,-1,-1,-1,-1
10.9941,veh2,drop_decision_no_action,8,699720508702,2964,-1,-1,-1,-1,-1
11.0101,veh2,drop_decision_no_action,10,699720508829,2993,-1,-1,-1,-1,-1
11.0128,veh2,drop_decision_no_action,12,5389,2979,-1,-1,-1,-1,-1
11.0173,veh2,drop_decision_no_action,11,5287,2978,-1,-1,-1,-1,-1
11.0461,veh2,drop_decision_no_action,3,699720508880,3049,-1,-1,-1,-1,-1
11.0528,veh2,drop_decision_no_action,12,699720508905,3068,-1,-1,-1,-1,-1
11.0746,veh2,drop_decision_no_action,9,699720508926,3085,-1,-1,-1,-1,-1
11.0901,veh2,drop_decision_no_action,10,5523,3112,-1,-1,-1,-1,-1
11.0973,veh2,drop_decision_no_action,11,699720508969,3129,-1,-1,-1,-1,-1
11.1101,veh2,drop_decision_no_action,10,699720509086,3149,-1,-1,-1,-1,-1
11.1173,veh2,drop_decision_no_action,11,5546,3138,-1,-1,-1,-1,-1
11.1238,veh2,drop_decision_no_action,5,5651,3148,-1,-1,-1,-1,-1
11.1438,veh2,drop_decision_no_action,5,699720509116,3148,-1,-1,-1,-1,-1
11.1461,veh2,drop_decision_no_action,3,5697,3197,-1,-1,-1,-1,-1
