messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,2,2896,45.0522,7.65724,90,6.97,-7
2,5,3016,45.0522,7.65566,90,17.14,3.8
2,7,3107,45.0522,7.65532,90,17.93,3.4
2,9,3128,45.0522,7.65494,90,18.97,3.7
2,6,3134,45.0522,7.6555,90,17.66,3.6
2,2,3192,45.0522,7.65725,90,6.27,-7
2,5,3562,45.0522,7.65571,90,17.91,3.8
2,11,3463,45.0523,7.65787,270,14.03,-7
2,4,3594,45.0522,7.65589,90,17.65,3.9
2,2,3722,45.0522,7.65726,90,4.49,-8.9
2,8,3873,45.0522,7.65523,90,19.57,3.9
2,11,3985,45.0523,7.65784,270,12.63,-7
2,9,4167,45.0522,7.65504,90,20.48,3.8
2,12,4352,45.0523,7.65797,240.4,15.54,2.5
2,11,4254,45.0523,7.65783,270,11.93,-7
2,8,4405,45.0522,7.65528,90,20.37,3.9
2,10,4500,45.0523,7.65763,270,17.7,2.9
2,5,4631,45.0522,7.6558,90,19.44,3.8
2,4,4654,45.0522,7.65598,90,19.25,3.9
2,9,4707,45.0522,7.6551,90,21.25,3.8
2,11,4781,45.0523,7.6578,270,10.53,-7
2,2,5011,45.0522,7.65728,90,0.41,-8.9
2,12,5118,45.0523,7.65791,270,16.34,2.6
2,9,5210,45.0522,7.65515,90,21.98,3.3
2,2,5283,45.0522,7.65728,90,0.1,0
2,11,5287,45.0523,7.65777,270,9.13,-7
2,8,5442,45.0522,7.65538,90,21.89,3.4
2,5,5651,45.0522,7.6559,90,20.99,3.8
2,6,5739,45.0522,7.65574,90,21.36,3.7
2,12,5915,45.0523,7.65785,270,16.69,2.9
2,11,5814,45.0523,7.65775,270,7.99,0
2,10,6037,45.0523,7.65749,270,19.31,2.9
2,9,6233,45.0522,7.65526,90,23.33,3.4
2,10,6544,45.0523,7.65744,270,19.87,2.8
2,2,6578,45.0522,7.65728,90,0.1,0
2,12,6675,45.0523,7.65779,270,16.65,2.5
2,7,6747,45.0522,7.65564,90,17.66,-1.3
2,6,6778,45.0522,7.65585,90,22.82,-1.8
2,9,6773,45.0522,7.65532,90,23.91,-1.8
2,5,7224,45.0523,7.65607,90,22.36,-1.8
2,4,7239,45.0523,7.65624,90,22.15,-1.8
2,6,7307,45.0522,7.65591,90,22.46,-1.8
2,12,7478,45.0523,7.65772,270,16.62,-5
2,7,7540,45.0522,7.65571,90,17.26,-1.3
2,2,7620,45.0522,7.65728,90,0.1,0
2,6,7805,45.0522,7.65597,90,22.1,-1.8
2,10,7840,45.0523,7.65732,270,17.05,-7
2,11,8090,45.0523,7.65766,270,7.99,0
2,5,8197,45.0523,7.65618,90,21.64,-1.8
2,7,8256,45.0522,7.65577,90,16.86,-1.3
2,10,8310,45.0523,7.65728,270,15.65,-7
2,8,8470,45.0522,7.65573,90,22.33,-1.8
2,10,8557,45.0523,7.65726,270,14.95,-7
2,5,8687,45.0523,7.65623,90,21.28,-1.8
2,4,9174,45.0523,7.65646,90,20.71,-1.8
2,12,9390,45.0523,7.65756,270,15.14,-5
2,8,9428,45.0522,7.65584,90,21.61,-1.8
2,10,9495,45.0523,7.65719,270,12.15,-7
2,5,9628,45.0523,7.65634,90,20.56,-1.8
2,9,9708,45.0522,7.65567,90,21.75,-1.8
2,6,9715,45.0523,7.65618,90,20.66,-1.8
2,10,9763,45.0523,7.65718,270,11.45,-7
2,10,9999,45.0523,7.65717,270,10.75,-7
2,12,10119,45.0523,7.65751,270,13.64,-5
2,5,10124,45.0523,7.65639,90,20.2,-1.8
2,6,10198,45.0523,7.65623,90,20.3,-1.8
