vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,52466,0.331005,,0,CAM,8,,52466,-1
veh8,52673,0.531005,,0,CAM,8,,52673,-1
veh8,52873,0.731005,,0,CAM,8,,52873,-1
veh8,53072,0.931005,,0,CAM,8,,53072,-1
veh8,53294,1.131,,0,CAM,8,,53294,-1
veh8,53538,1.331,,0,CAM,8,,53538,-1
veh8,53795,1.531,,0,CAM,8,,53795,-1
veh8,54059,1.731,,0,CAM,8,,54059,-1
veh8,54332,1.931,,0,CAM,8,,54332,-1
veh8,54608,2.131,,0,CAM,8,,54608,-1
veh8,54900,2.331,,0,CAM,8,,54900,-1
veh8,55195,2.531,,0,CAM,8,,55195,-1
veh8,55526,2.731,,0,CAM,8,,55526,-1
veh8,55850,2.931,,0,CAM,8,,55850,-1
veh8,56172,3.131,,0,CAM,8,,56172,-1
veh8,56501,3.331,,0,CAM,8,,56501,-1
veh8,56823,3.531,,0,CAM,8,,56823,-1
veh8,57163,3.731,,0,CAM,8,,57163,-1
veh8,57499,3.931,,0,CAM,8,,57499,-1
veh8,57842,4.131,,0,CAM,8,,57842,-1
veh8,58019,4.231,,0,CAM,8,,58019,-1
veh8,58190,4.331,,0,CAM,8,,58190,-1
veh8,58351,4.431,,0,CAM,8,,58351,-1
veh8,58527,4.531,,0,CAM,8,,58527,-1
veh8,58869,4.731,,0,CAM,8,,58869,-1
veh8,59193,4.931,,0,CAM,8,,59193,-1
veh8,59526,5.131,,0,CAM,8,,59526,-1
veh8,59861,5.331,,0,CAM,8,,59861,-1
veh8,60173,5.531,,0,CAM,8,,60173,-1
veh8,60316,5.631,,0,CAM,8,,60316,-1
veh8,60473,5.731,,0,CAM,8,,60473,-1
veh8,60621,5.831,,0,CAM,8,,60621,-1
veh8,60786,5.931,,0,CAM,8,,60786,-1
veh8,61104,6.131,,0,CAM,8,,61104,-1
veh8,61413,6.331,,0,CAM,8,,61413,-1
veh8,61712,6.531,,0,CAM,8,,61712,-1
veh8,62025,6.731,,0,CAM,8,,62025,-1
veh8,62334,6.931,,0,CAM,8,,62334,-1
veh8,62652,7.131,,0,CAM,8,,62652,-1
veh8,62827,7.231,,0,CAM,8,,62827,-1
veh8,62988,7.331,,0,CAM,8,,62988,-1
veh8,63144,7.431,,0,CAM,8,,63144,-1
veh8,63450,7.631,,0,CAM,8,,63450,-1
veh8,63761,7.831,,0,CAM,8,,63761,-1
veh8,64066,8.031,,0,CAM,8,,64066,-1
veh8,64368,8.231,,0,CAM,8,,64368,-1
veh8,64672,8.431,,0,CAM,8,,64672,-1
veh8,64973,8.631,,0,CAM,8,,64973,-1
veh8,65265,8.831,,0,CAM,8,,65265,-1
veh8,1079,8.931,,0,CAM,8,,1079,-1
veh8,1217,9.031,,0,CAM,8,,1217,-1
veh8,1360,9.131,,0,CAM,8,,1360,-1
veh8,1511,9.231,,0,CAM,8,,1511,-1
veh8,1825,9.431,,0,CAM,8,,1825,-1
veh8,2249,9.731,,0,CAM,8,,2249,-1
veh8,699720506112,,10.0101,0,CPM_DROP_PHY,10,8,699720506112,1372
veh8,2727,10.031,,0,CAM,8,,2727,-1
veh8,2751,,10.0416,1,CAM,3,8,2751,-1
veh8,2792,,10.0546,1,CAM,9,8,2792,-1
veh8,699720506259,,10.0638,0,CPM_DROP_PHY,6,8,699720506259,1434
veh8,699720506263,,10.0746,0,CPM_DROP_PHY,9,8,699720506263,1435
veh8,2867,,10.0901,0,CAM_DROP_PHY,10,8,2867,1460
veh8,2896,,10.0986,0,CAM_DROP_PHY,2,8,2896,1479
veh8,3016,,10.1116,1,CAM,5,8,3016,-1
veh8,3007,,10.1136,0,CAM_DROP_PHY,12,8,3007,1488
veh8,2915,,10.1173,0,CAM_DROP_PHY,11,8,2915,1486
veh8,699720506468,,10.1186,0,CPM_DROP_PHY,2,8,699720506468,1515
veh8,3051,,10.1233,1,CAM,4,8,3051,-1
veh8,699720506525,,10.1416,0,CPM_DROP_PHY,3,8,699720506525,1576
veh8,3107,,10.1446,0,CAM_DROP_PHY,7,8,3107,1577
veh8,699720506563,,10.1536,0,CPM_DROP_PHY,12,8,699720506563,1602
veh8,3128,,10.1546,1,CAM,9,8,3128,-1
veh8,3134,,10.1638,0,CAM_DROP_PHY,6,8,3134,1603
veh8,3192,,10.1986,1,CAM,2,8,3192,-1
veh8,3199,,10.2173,1,CAM,11,8,3199,-1
veh8,3340,10.231,,0,CAM,8,,3340,-1
veh8,699720506762,,10.2316,0,CPM_DROP_PHY,5,8,699720506762,1704
veh8,3352,,10.2416,1,CAM,3,8,3352,-1
veh8,699720506788,,10.2416,0,CPM_DROP_PHY,3,8,699720506788,1731
veh8,699720506791,,10.2446,0,CPM_DROP_PHY,7,8,699720506791,1734
veh8,699720506829,,10.2638,0,CPM_DROP_PHY,6,8,699720506829,1772
veh8,699720506832,,10.2746,0,CPM_DROP_PHY,9,8,699720506832,1773
veh8,3428,,10.2901,0,CAM_DROP_PHY,10,8,3428,1795
veh8,3450,,10.2986,1,CAM,2,8,3450,-1
veh8,3562,,10.3116,0,CAM_DROP_PHY,5,8,3562,1842
veh8,3463,,10.3173,0,CAM_DROP_PHY,11,8,3463,1822
veh8,3594,,10.3233,1,CAM,4,8,3594,-1
veh8,699720507033,,10.3316,0,CPM_DROP_PHY,5,8,699720507033,1873
veh8,3638,,10.3446,0,CAM_DROP_PHY,7,8,3638,1906
veh8,3656,,10.3546,1,CAM,9,8,3656,-1
veh8,3661,,10.3638,1,CAM,6,8,3661,-1
veh8,3722,,10.3986,1,CAM,2,8,3722,-1
veh8,699720507266,,10.4101,0,CPM_DROP_PHY,10,8,699720507266,2005
veh8,3825,,10.4136,0,CAM_DROP_PHY,12,8,3825,1993
veh8,3732,,10.4173,0,CAM_DROP_PHY,11,8,3732,1992
veh8,3873,10.431,,0,CAM,8,,3873,-1
veh8,699720507319,,10.4416,0,CPM_DROP_PHY,3,8,699720507319,2061
veh8,3959,,10.4901,0,CAM_DROP_PHY,10,8,3959,2119
veh8,3979,,10.4986,1,CAM,2,8,3979,-1
veh8,699720507520,,10.5101,0,CPM_DROP_PHY,10,8,699720507520,2159
veh8,4084,,10.5116,0,CAM_DROP_PHY,5,8,4084,2158
veh8,3985,,10.5173,1,CAM,11,8,3985,-1
veh8,4109,,10.5233,0,CAM_DROP_PHY,4,8,4109,2180
veh8,699720507548,,10.5316,0,CPM_DROP_PHY,5,8,699720507548,2185
veh8,4137,,10.5416,0,CAM_DROP_PHY,3,8,4137,2215
veh8,699720507577,,10.5446,0,CPM_DROP_PHY,7,8,699720507577,2219
veh8,4167,,10.5546,1,CAM,9,8,4167,-1
veh8,4174,,10.5638,1,CAM,6,8,4174,-1
veh8,4243,,10.5986,1,CAM,2,8,4243,-1
veh8,4352,,10.6136,0,CAM_DROP_PHY,12,8,4352,2324
veh8,4254,,10.6173,0,CAM_DROP_PHY,11,8,4254,2323
veh8,699720507809,,10.6186,0,CPM_DROP_PHY,2,8,699720507809,2348
veh8,4405,10.631,,0,CAM,8,,4405,-1
veh8,4436,,10.6446,0,CAM_DROP_PHY,7,8,4436,2398
veh8,4500,,10.6901,0,CAM_DROP_PHY,10,8,4500,2462
veh8,4522,,10.6986,0,CAM_DROP_PHY,2,8,4522,2486
veh8,699720508067,,10.7101,0,CPM_DROP_PHY,10,8,699720508067,2505
veh8,4631,,10.7116,1,CAM,5,8,4631,-1
veh8,4623,,10.7136,0,CAM_DROP_PHY,12,8,4623,2493
veh8,4528,,10.7173,1,CAM,11,8,4528,-1
veh8,4654,,10.7363,0,CAM_DROP_PHY,4,8,4654,2530
veh8,699720508143,,10.7536,0,CPM_DROP_PHY,12,8,699720508143,2584
veh8,4707,,10.7546,1,CAM,9,8,4707,-1
veh8,4714,,10.7638,0,CAM_DROP_PHY,6,8,4714,2585
veh8,4772,,10.7986,0,CAM_DROP_PHY,2,8,4772,2650
veh8,4874,,10.8136,1,CAM,12,8,4874,-1
veh8,4781,,10.8173,0,CAM_DROP_PHY,11,8,4781,2657
veh8,4913,10.831,,0,CAM,8,,4913,-1
veh8,4925,,10.8416,1,CAM,3,8,4925,-1
veh8,699720508362,,10.8416,0,CPM_DROP_PHY,3,8,699720508362,2715
veh8,699720508365,,10.8548,0,CPM_DROP_PHY,7,8,699720508365,2719
veh8,699720508401,,10.8746,0,CPM_DROP_PHY,9,8,699720508401,2754
veh8,4992,,10.8901,0,CAM_DROP_PHY,10,8,4992,2773
veh8,5011,,10.8986,1,CAM,2,8,5011,-1
veh8,5118,,10.9136,0,CAM_DROP_PHY,12,8,5118,2799
veh8,5022,,10.9173,0,CAM_DROP_PHY,11,8,5022,2797
veh8,699720508572,,10.9186,0,CPM_DROP_PHY,2,8,699720508572,2821
veh8,5127,,10.9238,0,CAM_DROP_PHY,5,8,5127,2813
veh8,5153,,10.9363,1,CAM,4,8,5153,-1
veh8,699720508592,,10.9438,0,CPM_DROP_PHY,5,8,699720508592,2813
veh8,699720508645,,10.9536,0,CPM_DROP_PHY,12,8,699720508645,2898
veh8,5210,,10.9546,1,CAM,9,8,5210,-1
veh8,5186,,10.9548,0,CAM_DROP_PHY,7,8,5186,2872
veh8,5217,,10.9638,1,CAM,6,8,5217,-1
veh8,699720508675,,10.9763,0,CPM_DROP_PHY,4,8,699720508675,2933
veh8,5283,,10.9986,0,CAM_DROP_PHY,2,8,5283,2973
veh8,5389,,11.0128,0,CAM_DROP_PHY,12,8,5389,2979
veh8,5287,,11.0173,0,CAM_DROP_PHY,11,8,5287,2978
veh8,5442,11.031,,0,CAM,8,,5442,-1
veh8,699720508880,,11.0461,0,CPM_DROP_PHY,3,8,699720508880,3049
veh8,699720508884,,11.0548,0,CPM_DROP_PHY,7,8,699720508884,3050
veh8,699720508932,,11.0763,0,CPM_DROP_PHY,4,8,699720508932,3094
veh8,5523,,11.0901,0,CAM_DROP_PHY,10,8,5523,3112
veh8,5546,,11.1173,1,CAM,11,8,5546,-1
veh8,5651,,11.1238,0,CAM_DROP_PHY,5,8,5651,3148
veh8,5678,,11.1363,1,CAM,4,8,5678,-1
veh8,699720509116,,11.1438,0,CPM_DROP_PHY,5,8,699720509116,3148
veh8,5697,,11.1461,1,CAM,3,8,5697,-1
veh8,5733,,11.1546,0,CAM_DROP_PHY,9,8,5733,3224
veh8,699720509135,,11.1548,0,CPM_DROP_PHY,7,8,699720509135,3201
veh8,5739,,11.1638,0,CAM_DROP_PHY,6,8,5739,3230
veh8,699720509188,,11.1746,0,CPM_DROP_PHY,9,8,699720509188,3247
veh8,5807,,11.1986,1,CAM,2,8,5807,-1
veh8,5915,,11.2128,0,CAM_DROP_PHY,12,8,5915,3303
veh8,5814,,11.2143,0,CAM_DROP_PHY,11,8,5814,3302
veh8,5961,11.231,,0,CAM,8,,5961,-1
veh8,699720509401,,11.2538,0,CPM_DROP_PHY,7,8,699720509401,3369
veh8,5977,,11.2538,1,CAM,7,8,5977,-1
veh8,6037,,11.2876,0,CAM_DROP_PHY,10,8,6037,3424
veh8,6164,,11.3238,1,CAM,5,8,6164,-1
veh8,699720509600,,11.3276,0,CPM_DROP_PHY,10,8,699720509600,3464
veh8,6181,,11.3301,0,CAM_DROP_PHY,4,8,6181,3476
veh8,699720509636,,11.3461,0,CPM_DROP_PHY,3,8,699720509636,3504
veh8,6233,,11.3546,1,CAM,9,8,6233,-1
veh8,6240,,11.3566,0,CAM_DROP_PHY,6,8,6240,3535
veh8,6328,,11.4143,1,CAM,11,8,6328,-1
veh8,699720509882,,11.4238,0,CPM_DROP_PHY,5,8,699720509882,3652
veh8,6470,11.431,,0,CAM,8,,6470,-1
veh8,6475,,11.4461,0,CAM_DROP_PHY,3,8,6475,3673
veh8,699720509914,,11.4538,0,CPM_DROP_PHY,7,8,699720509914,3678
veh8,6544,,11.4876,1,CAM,10,8,6544,-1
veh8,699720510000,,11.4943,0,CPM_DROP_PHY,11,8,699720510000,3756
veh8,6578,,11.5093,0,CAM_DROP_PHY,2,8,6578,3768
veh8,6675,,11.5128,1,CAM,12,8,6675,-1
veh8,6683,,11.5238,0,CAM_DROP_PHY,5,8,6683,3783
veh8,699720510119,,11.5276,0,CPM_DROP_PHY,10,8,699720510119,3785
veh8,6701,,11.5301,0,CAM_DROP_PHY,4,8,6701,3801
veh8,699720510167,,11.5461,0,CPM_DROP_PHY,3,8,699720510167,3835
veh8,699720510170,,11.5538,0,CPM_DROP_PHY,7,8,699720510170,3838
veh8,6747,,11.5538,1,CAM,7,8,6747,-1
veh8,6778,,11.5566,1,CAM,6,8,6778,-1
veh8,6773,,11.5688,1,CAM,9,8,6773,-1
veh8,699720510254,,11.5766,0,CPM_DROP_PHY,6,8,699720510254,3888
veh8,6876,,11.6143,0,CAM_DROP_PHY,11,8,6876,3937
veh8,699720510431,,11.6238,0,CPM_DROP_PHY,5,8,699720510431,3957
veh8,7017,11.631,,0,CAM,8,,7017,-1
veh8,699720510455,,11.6388,0,CPM_DROP_PHY,3,8,699720510455,3979
veh8,699720510459,,11.6538,0,CPM_DROP_PHY,7,8,699720510459,3981
veh8,699720510498,,11.6766,0,CPM_DROP_PHY,6,8,699720510498,4019
veh8,7093,,11.6876,0,CAM_DROP_PHY,10,8,7093,4035
veh8,699720510538,,11.6943,0,CPM_DROP_PHY,11,8,699720510538,4048
veh8,7224,,11.7238,0,CAM_DROP_PHY,5,8,7224,4068
veh8,7239,,11.7301,1,CAM,4,8,7239,-1
veh8,699720510736,,11.7528,0,CPM_DROP_PHY,12,8,699720510736,4143
veh8,699720510706,,11.7538,0,CPM_DROP_PHY,7,8,699720510706,4110
veh8,7307,,11.7566,1,CAM,6,8,7307,-1
veh8,7300,,11.7688,0,CAM_DROP_PHY,9,8,7300,4141
veh8,699720510767,,11.7701,0,CPM_DROP_PHY,4,8,699720510767,4172
veh8,699720510762,,11.7766,0,CPM_DROP_PHY,6,8,699720510762,4164
veh8,7358,,11.7876,1,CAM,10,8,7358,-1
veh8,7478,,11.8128,1,CAM,12,8,7478,-1
veh8,699720510933,,11.8238,0,CPM_DROP_PHY,5,8,699720510933,4252
veh8,7516,11.831,,0,CAM,8,,7516,-1
veh8,7540,,11.8538,0,CAM_DROP_PHY,7,8,7540,4279
