pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
1371,10.0101,CPM_DROP_PHY,699720729303,10,12.0,10.0101,cpm_drop_reaction,0,1,24,veh12,0.0,True
1371,10.0101,CPM_DROP_PHY,699720729303,10,4.0,10.0101,cpm_drop_reaction,0,1,45,veh4,0.0,True
1371,10.0101,CPM_DROP_PHY,699720729303,10,8.0,10.0101,cpm_drop_reaction,0,1,45,veh8,0.0,True
1377,10.0233,CAM_DROP_PHY,29293,4,11.0,10.0233,drop_decision_no_action,-1,-1,-1,veh11,0.0,False
1377,10.0233,CAM_DROP_PHY,29293,4,12.0,10.0233,drop_decision_no_action,-1,-1,-1,veh12,0.0,False
1377,10.0233,CAM_DROP_PHY,29293,4,3.0,10.0233,cam_drop_reaction,0,1,45,veh3,0.0,True
1377,10.0233,CAM_DROP_PHY,29293,4,5.0,10.0233,cam_drop_reaction,0,1,45,veh5,0.0,True
1377,10.0233,CAM_DROP_PHY,29293,4,6.0,10.0233,cam_drop_reaction,0,1,45,veh6,0.0,True
1377,10.0233,CAM_DROP_PHY,29293,4,7.0,10.0233,cam_drop_reaction,0,1,45,veh7,0.0,True
1377,10.0233,CAM_DROP_PHY,29293,4,8.0,10.0233,drop_decision_no_action,-1,-1,-1,veh8,0.0,False
1377,10.0233,CAM_DROP_PHY,29293,4,9.0,10.0233,cam_drop_reaction,0,1,45,veh9,0.0,True
1378,10.0316,CPM_DROP_PHY,699720729341,5,10.0,10.0316,cpm_drop_reaction,0,1,24,veh10,0.0,True
1378,10.0316,CPM_DROP_PHY,699720729341,5,3.0,10.0316,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
1378,10.0316,CPM_DROP_PHY,699720729341,5,4.0,10.0316,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1377,10.0341,CAM_DROP_PHY,29293,4,10.0,10.0341,drop_decision_no_action,-1,-1,-1,veh10,0.0,False
1394,10.0416,CPM_DROP_PHY,699720729379,3,10.0,10.0416,drop_decision_no_action,-1,-1,-1,veh10,0.0,False
1394,10.0416,CAM_DROP_PHY,29335,3,11.0,10.0416,drop_decision_no_action,-1,-1,-1,veh11,0.0,False
1394,10.0416,CAM_DROP_PHY,29335,3,12.0,10.0416,drop_decision_no_action,-1,-1,-1,veh12,0.0,False
1394,10.0416,CPM_DROP_PHY,699720729379,3,12.0,10.0416,drop_decision_no_action,-1,-1,-1,veh12,0.0,False
