messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,3,6925,45.0522,7.65602,90,15.93,-1.3
2,6,6977,45.0522,7.6555,90,17.8,3.9
2,12,7139,45.0524,7.65804,236.3,15.67,-1.9
2,8,7441,45.0522,7.6552,90,19.23,3.9
2,2,7546,45.0522,7.65726,90,4.49,-8.9
2,7,7465,45.0522,7.65537,90,18.62,-1.4
2,5,8005,45.0522,7.65575,90,16.95,-1.4
2,2,8157,45.0522,7.65727,90,2.89,-6.9
2,12,8252,45.0523,7.65797,240.5,15.63,2.9
2,12,8498,45.0523,7.65795,249.9,15.9,2.9
2,3,8550,45.0522,7.65614,90,15.07,-1.4
2,6,8591,45.0522,7.65564,90,20.2,3.9
2,11,8664,45.0523,7.6578,270,10.46,-7
2,5,8762,45.0522,7.65581,90,16.54,-1.3
2,7,8916,45.0522,7.65548,90,17.93,-1.3
2,8,9141,45.0522,7.65536,90,21.63,3.9
2,6,9191,45.0522,7.65569,90,21,3.9
2,11,9506,45.0523,7.65776,270,8.36,-7
2,2,10098,45.0522,7.65728,90,0.1,0
2,3,10253,45.0522,7.65625,90,14.24,-1.3
2,11,10104,45.0523,7.65774,270,7.99,0
2,11,10579,45.0523,7.65772,270,7.99,0.1
2,4,10691,45.0523,7.65619,90,22.5,3.9
2,9,10760,45.0522,7.65533,90,24.27,-1.8
2,12,11035,45.0523,7.65776,270,16.62,-5
2,5,11285,45.0522,7.65599,90,15.33,-1.3
2,7,11342,45.0522,7.65568,90,16.75,-1.3
2,6,11359,45.0522,7.65592,90,22.93,-1.8
2,9,11354,45.0522,7.65539,90,23.91,-1.8
2,3,11783,45.0522,7.65635,90,13.43,-1.3
2,8,11778,45.0522,7.65565,90,23.25,-1.8
2,5,12103,45.0522,7.65605,90,14.93,-1.3
2,12,12575,45.0523,7.65764,270,16.93,2.6
2,4,12833,45.0523,7.65641,90,21.12,-1.8
2,5,12819,45.0522,7.65611,90,14.53,-1.3
2,8,12851,45.0522,7.65576,90,22.53,-1.8
2,12,13166,45.0523,7.6576,270,16.07,-5
2,8,13451,45.0522,7.65582,90,22.17,-1.8
2,6,13485,45.0523,7.65614,90,21.49,-1.8
2,5,13663,45.0522,7.65616,90,14.13,-1.3
2,7,13703,45.0522,7.65586,90,15.57,-1.3
2,11,13800,45.0523,7.6576,270,7.99,-0.2
2,4,13918,45.0523,7.65651,90,20.4,-1.8
2,2,14040,45.0522,7.65728,90,0.1,0
2,4,14493,45.0523,7.65656,90,20.04,-1.8
2,8,14512,45.0522,7.65593,90,21.45,-1.8
2,9,14544,45.0522,7.65573,90,21.75,-1.8
2,6,14553,45.0523,7.65625,90,20.77,-1.8
2,4,15333,45.0523,7.65664,90,19.5,-1.8
2,8,15596,45.0522,7.65603,90,20.73,-1.8
2,6,15644,45.0523,7.65635,90,20.05,-1.8
2,12,16066,45.0523,7.65742,270,9.73,-7
2,4,16086,45.0523,7.65671,90,18.96,-1.8
2,8,16109,45.0523,7.65608,90,20.37,-1.8
2,2,16210,45.0522,7.65728,90,0.05,-0.5
2,8,16726,45.0523,7.65613,90,20.01,-1.8
2,11,16836,45.0523,7.6575,270,5.74,1
2,3,17017,45.0522,7.65664,90,10.86,-1.3
2,4,16982,45.0523,7.65678,90,18.42,-1.8
2,6,17321,45.0523,7.65649,90,18.97,-1.8
2,11,17492,45.0523,7.65749,270,5.94,1
2,5,17638,45.0522,7.65639,90,12.28,-1.3
2,8,17673,45.0523,7.65621,90,19.47,-1.8
2,12,18190,45.0523,7.65735,270,7.99,0.1
2,8,18636,45.0523,7.65628,90,18.93,-1.8
2,6,20411,45.0523,7.6567,90,17.35,-1.8
2,4,21140,45.0523,7.65704,90,16.26,-1.8
2,7,21193,45.0522,7.65628,90,12.46,-1.2
2,2,21293,45.0522,7.65728,90,0.05,-0.5
2,11,21662,45.0523,7.65739,270,6.78,1
2,8,22010,45.0523,7.65648,90,17.31,-1.8
2,4,22323,45.0523,7.6571,90,15.72,-1.8
2,9,23253,45.0523,7.65636,90,17.07,-1.8
2,5,23549,45.0522,7.65662,90,10.18,-1.3
2,8,24496,45.0523,7.65661,90,16.23,-1.8
2,9,24543,45.0523,7.65642,90,16.53,-1.8
2,7,24900,45.0522,7.65641,90,11.3,-1.2
2,8,25792,45.0523,7.65667,90,15.69,-1.8
2,4,26206,45.0523,7.65727,90,15,0
2,7,26346,45.0522,7.65645,90,10.92,-1.2
2,6,26782,45.0523,7.657,90,15,0
2,4,27678,45.0523,7.65732,90,15,0
2,2,27811,45.0522,7.65728,90,0.05,-0.5
2,7,27711,45.0523,7.65649,90,10.65,3.9
2,5,28959,45.0522,7.65676,90,8.63,-1.2
2,12,29902,45.0523,7.65707,270,7.99,0.2
2,8,29959,45.0523,7.65684,90,15,0
2,11,30111,45.0523,7.65722,270,7.44,0.7
2,2,30106,45.0522,7.65729,90,0.05,-0.5
2,7,30424,45.0523,7.65658,90,13.05,3.9
2,12,31328,45.0523,7.65704,270,7.99,0
2,7,31407,45.0523,7.65662,90,13.85,3.9
2,7,33700,45.0523,7.65665,90,14.65,3.9
2,9,34261,45.0523,7.65677,90,15,0
2,7,34692,45.0523,7.65669,90,14.88,0
2,3,35086,45.0522,7.65705,90,5.54,-1.2
2,11,35318,45.0523,7.65714,270,7.59,0
2,9,35658,45.0523,7.65682,90,15,0
2,4,36028,45.0523,7.65761,90,15,0
2,2,36309,45.0522,7.65729,90,0.05,-0.5
2,11,37162,45.0523,7.65711,270,7.65,0.5
2,8,38500,45.0523,7.65712,90,15,0
2,9,38525,45.0523,7.65694,90,15,0
2,5,39755,45.0522,7.65694,90,6.09,-1.2
2,4,40147,45.0523,7.65777,90,15,0
2,9,41019,45.0523,7.65705,90,15,0
2,11,41121,45.0523,7.65702,270,7.75,0.5
2,8,42247,45.0523,7.65729,90,15,0
2,7,42702,45.0523,7.65702,90,14.9,0
2,2,42790,45.0522,7.65729,90,0.05,-0.5
2,12,42977,45.0523,7.65681,270,7.99,0.2
2,6,43066,45.0523,7.65762,90,15,0
2,5,43789,45.0522,7.65701,90,4.87,-1.2
2,7,43865,45.0523,7.65708,90,14.9,0
2,11,43972,45.0523,7.65695,270,7.81,-0.1
2,9,44524,45.0523,7.65722,90,15,0
2,5,45148,45.0523,7.65704,90,6.41,4
2,11,45624,45.0523,7.6569,270,7.84,-0.1
2,7,45946,45.0523,7.65719,90,14.91,0
2,4,46540,45.0523,7.65813,56.3,15,0
2,9,46598,45.0523,7.65733,90,15,0
2,11,46658,45.0523,7.65687,270,7.86,0.1
2,6,47241,45.0523,7.65784,90,15,0
2,3,47492,45.0522,7.65719,90,1.7,-1.1
2,11,47982,45.0523,7.65683,270,7.87,-0.3
2,12,48097,45.0523,7.65665,270,7.99,0
2,5,48389,45.0523,7.65714,90,10.41,3.9
2,8,48432,45.0523,7.65763,90,15,0
2,7,48681,45.0523,7.65736,90,14.91,0
2,2,48758,45.0522,7.65729,90,0.1,0
2,4,48995,45.0524,7.65825,56.3,15,0
2,11,49375,45.0523,7.65678,270,7.9,-0.2
2,12,49497,45.0523,7.6566,270,7.99,0
2,4,49764,45.0524,7.6583,56.3,15,0
2,6,49822,45.0523,7.65806,71.1,15,0
2,6,50411,45.0523,7.65809,56.3,15,0
2,5,50590,45.0523,7.65726,90,13.61,3.9
2,3,50635,45.0523,7.6572,90,0.61,-0.7
2,12,51164,45.0523,7.65654,270,7.99,0
2,5,51170,45.0523,7.6573,90,14.41,3.9
2,3,51208,45.0523,7.6572,90,1.41,4
2,4,51434,45.0525,7.65839,56.3,15,0
2,5,51658,45.0523,7.65734,90,15,0
2,8,51698,45.0523,7.65785,90,15,0
2,3,51703,45.0523,7.65721,90,2.21,4
