time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0161,veh2,drop_decision_no_action,5,6480,1376,-1,-1,-1,-1,-1
10.0361,veh2,drop_decision_no_action,5,699720444416,1393,-1,-1,-1,-1,-1
10.0491,veh2,drop_decision_no_action,7,699720444434,1403,-1,-1,-1,-1,-1
10.0546,veh2,drop_decision_no_action,9,6584,1425,-1,-1,-1,-1,-1
10.0631,veh2,drop_decision_no_action,12,699720444485,1426,-1,-1,-1,-1,-1
10.1303,veh2,drop_decision_no_action,4,6905,1533,-1,-1,-1,-1,-1
10.1628,veh2,drop_decision_no_action,3,699720444825,1554,-1,-1,-1,-1,-1
10.1646,veh2,drop_decision_no_action,7,6953,1557,-1,-1,-1,-1,-1
10.1891,veh2,drop_decision_no_action,8,699720444929,1661,-1,-1,-1,-1,-1
10.1901,veh2,drop_decision_no_action,10,7026,1655,-1,-1,-1,-1,-1
10.2031,veh2,drop_decision_no_action,12,7139,1680,-1,-1,-1,-1,-1
10.2101,veh2,drop_decision_no_action,10,699720445048,1702,-1,-1,-1,-1,-1
10.2161,veh2,drop_decision_no_action,5,7148,1701,-1,-1,-1,-1,-1
10.2428,veh2,drop_decision_no_action,3,699720445087,1751,-1,-1,-1,-1,-1
10.2891,veh2,drop_decision_no_action,8,699720445178,1834,-1,-1,-1,-1,-1
10.3101,veh2,drop_decision_no_action,10,699720445298,1866,-1,-1,-1,-1,-1
10.3361,veh2,drop_decision_no_action,5,699720445326,1888,-1,-1,-1,-1,-1
10.3631,veh2,drop_decision_no_action,12,699720445379,1940,-1,-1,-1,-1,-1
10.3901,veh2,drop_decision_no_action,10,7528,1991,-1,-1,-1,-1,-1
10.4026,veh2,drop_decision_no_action,11,7553,2003,-1,-1,-1,-1,-1
10.4428,veh2,drop_decision_no_action,3,7683,2063,-1,-1,-1,-1,-1
10.4491,veh2,drop_decision_no_action,7,7465,1907,-1,-1,-1,-1,-1
10.4628,veh2,drop_decision_no_action,3,699720445583,2063,-1,-1,-1,-1,-1
10.4631,veh2,drop_decision_no_action,12,699720445627,2093,-1,-1,-1,-1,-1
10.4638,veh2,drop_decision_no_action,6,699720445636,2102,-1,-1,-1,-1,-1
10.5161,veh2,drop_decision_no_action,5,8005,2181,-1,-1,-1,-1,-1
10.5303,veh2,drop_decision_no_action,4,8029,2209,-1,-1,-1,-1,-1
10.5491,veh2,drop_decision_no_action,8,8047,2233,-1,-1,-1,-1,-1
10.5546,veh2,drop_decision_no_action,9,8088,2271,-1,-1,-1,-1,-1
10.5638,veh2,drop_decision_no_action,6,8094,2273,-1,-1,-1,-1,-1
10.5901,veh2,drop_decision_no_action,10,8141,2332,-1,-1,-1,-1,-1
10.6031,veh2,drop_decision_no_action,12,8252,2355,-1,-1,-1,-1,-1
10.6473,veh2,drop_decision_no_action,3,699720446192,2415,-1,-1,-1,-1,-1
10.6638,veh2,drop_decision_no_action,6,699720446232,2452,-1,-1,-1,-1,-1
10.7361,veh2,drop_decision_no_action,5,699720446432,2552,-1,-1,-1,-1,-1
10.7473,veh2,drop_decision_no_action,3,8550,2570,-1,-1,-1,-1,-1
10.7491,veh2,drop_decision_no_action,8,8547,2569,-1,-1,-1,-1,-1
10.7546,veh2,drop_decision_no_action,9,8587,2601,-1,-1,-1,-1,-1
10.7673,veh2,drop_decision_no_action,3,699720446450,2570,-1,-1,-1,-1,-1
10.7703,veh2,drop_decision_no_action,4,699720446508,2632,-1,-1,-1,-1,-1
10.7901,veh2,drop_decision_no_action,10,8642,2660,-1,-1,-1,-1,-1
10.8023,veh2,drop_decision_no_action,12,8754,2684,-1,-1,-1,-1,-1
10.8026,veh2,drop_decision_no_action,11,8664,2682,-1,-1,-1,-1,-1
10.8361,veh2,drop_decision_no_action,5,699720446783,2733,-1,-1,-1,-1,-1
10.8638,veh2,drop_decision_no_action,6,699720446846,2786,-1,-1,-1,-1,-1
10.8703,veh2,drop_decision_no_action,4,699720446860,2795,-1,-1,-1,-1,-1
10.8748,veh2,drop_decision_no_action,7,8916,2753,-1,-1,-1,-1,-1
10.8996,veh2,drop_decision_no_action,11,9007,2848,-1,-1,-1,-1,-1
10.9023,veh2,drop_decision_no_action,12,9096,2855,-1,-1,-1,-1,-1
10.9303,veh2,drop_decision_no_action,4,9124,2894,-1,-1,-1,-1,-1
10.9473,veh2,drop_decision_no_action,3,699720447042,2915,-1,-1,-1,-1,-1
10.9546,veh2,drop_decision_no_action,9,9185,2943,-1,-1,-1,-1,-1
10.9548,veh2,drop_decision_no_action,7,699720447045,2916,-1,-1,-1,-1,-1
10.9623,veh2,drop_decision_no_action,12,699720447084,2945,-1,-1,-1,-1,-1
10.9638,veh2,drop_decision_no_action,6,699720447103,2946,-1,-1,-1,-1,-1
10.9901,veh2,drop_decision_no_action,10,9241,3003,-1,-1,-1,-1,-1
10.9996,veh2,drop_decision_no_action,11,9264,3025,-1,-1,-1,-1,-1
11.0101,veh2,drop_decision_no_action,10,699720447259,3043,-1,-1,-1,-1,-1
