vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh9,56128,1.45074,,0,CAM,9,,56128,-1
veh9,56370,1.65074,,0,CAM,9,,56370,-1
veh9,56734,1.85074,,0,CAM,9,,56734,-1
veh9,57003,2.05074,,0,CAM,9,,57003,-1
veh9,57265,2.25074,,0,CAM,9,,57265,-1
veh9,57635,2.45074,,0,CAM,9,,57635,-1
veh9,57793,2.55074,,0,CAM,9,,57793,-1
veh9,58107,2.75074,,0,CAM,9,,58107,-1
veh9,58415,2.95074,,0,CAM,9,,58415,-1
veh9,58816,3.15074,,0,CAM,9,,58816,-1
veh9,59127,3.35074,,0,CAM,9,,59127,-1
veh9,59444,3.55074,,0,CAM,9,,59444,-1
veh9,59865,3.75074,,0,CAM,9,,59865,-1
veh9,60181,3.95074,,0,CAM,9,,60181,-1
veh9,60506,4.15074,,0,CAM,9,,60506,-1
veh9,60941,4.35074,,0,CAM,9,,60941,-1
veh9,61289,4.55074,,0,CAM,9,,61289,-1
veh9,61614,4.75074,,0,CAM,9,,61614,-1
veh9,62055,4.95074,,0,CAM,9,,62055,-1
veh9,62396,5.15074,,0,CAM,9,,62396,-1
veh9,62556,5.25074,,0,CAM,9,,62556,-1
veh9,62823,5.35074,,0,CAM,9,,62823,-1
veh9,62989,5.45074,,0,CAM,9,,62989,-1
veh9,63294,5.65074,,0,CAM,9,,63294,-1
veh9,63610,5.85074,,0,CAM,9,,63610,-1
veh9,65244,5.95074,,0,CAM,9,,65244,-1
veh9,14,6.15074,,0,CAM,9,,14,-1
veh9,330,6.35074,,0,CAM,9,,330,-1
veh9,727,6.55074,,0,CAM,9,,727,-1
veh9,890,6.65074,,0,CAM,9,,890,-1
veh9,1052,6.75074,,0,CAM,9,,1052,-1
veh9,1385,6.95074,,0,CAM,9,,1385,-1
veh9,1800,7.15074,,0,CAM,9,,1800,-1
veh9,2130,7.35074,,0,CAM,9,,2130,-1
veh9,2438,7.55074,,0,CAM,9,,2438,-1
veh9,2835,7.75074,,0,CAM,9,,2835,-1
veh9,3145,7.95074,,0,CAM,9,,3145,-1
