time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.01,,,0
0.02,,,0
0.03,,,0
0.04,,,0
0.05,,,0
0.06,,,0
0.07,,,0
0.08,,,0
0.09,,,0
0.1,,,0
0.11,,,0
0.12,,,0
0.13,,,0
0.14,,,0
0.15,,,0
0.16,,,0
0.17,,,0
0.18,,,0
0.19,,,0
0.2,,,1
0.21,,,1
0.22,,,1
0.23,,,1
0.24,,,1
0.25,,,1
0.26,,,1
0.27,,,1
0.28,,,1
0.29,,,1
0.3,,,1
0.31,,,1
0.32,,,1
0.33,,,1
0.34,,,1
0.35,,,1
0.36,,,1
0.37,,,1
0.38,,,1
0.39,,,1
0.4,,,1
0.41,,,1
0.42,,,1
0.43,,,1
0.44,,,1
0.45,,,1
0.46,,,1
0.47,,,1
0.48,,,1
0.49,,,1
0.5,,,1
0.51,,,1
0.52,,,1
0.53,,,1
0.54,,,1
0.55,,,1
0.56,,,1
0.57,,,1
0.58,,,1
0.59,,,1
0.6,,,1
0.61,,,1
0.62,,,1
0.63,,,1
0.64,,,1
0.65,,,1
0.66,,,1
0.67,,,1
0.68,,,1
0.69,,,1
0.7,,,1
0.71,,,1
0.72,,,1
0.73,,,1
0.74,,,1
0.75,,,1
0.76,,,1
0.77,,,1
0.78,,,1
0.79,,,1
0.8,,,1
0.81,,,1
0.82,,,1
0.83,,,1
0.84,,,2
0.85,,,2
0.86,,,2
0.87,,,2
0.88,,,2
0.89,,,2
0.9,,,2
0.91,,,2
0.92,,,2
0.93,,,2
0.94,,,2
0.95,,,2
0.96,,,2
0.97,,,2
0.98,,,2
0.99,,,2
1.0,,,2
1.01,,,2
1.02,,,2
1.03,,,2
1.04,,,2
1.05,,,2
1.06,,,2
1.07,,,2
1.08,,,2
1.09,,,2
1.1,,,2
1.11,,,2
1.12,,,2
1.13,17.900000000000006,,3
1.14,17.89999999999999,,3
1.15,17.909999999999997,,3
1.16,17.91000000000001,,3
1.17,17.92,,3
1.18,17.92,,3
1.19,17.929999999999993,,3
1.2,17.929999999999993,,3
1.21,17.930000000000007,,3
1.22,17.929999999999993,,3
1.23,17.939999999999998,,3
1.24,17.950000000000003,,3
1.25,17.950000000000003,,3
1.26,17.959999999999994,,3
1.27,17.959999999999994,,3
1.28,17.97,,3
1.29,17.980000000000004,,3
1.3,17.97,,3
1.31,17.97999999999999,,3
1.32,17.980000000000004,,3
1.33,17.99000000000001,,3
1.34,18.0,,3
1.35,18.0,,3
1.36,18.0,,3
1.37,18.010000000000005,,3
1.38,18.010000000000005,,3
1.39,18.019999999999996,,3
1.4,18.029999999999987,,3
1.41,18.019999999999996,,3
1.42,18.03,,3
1.43,18.039999999999992,,3
1.44,18.040000000000006,,3
1.45,18.039999999999992,,3
1.46,18.049999999999997,,3
1.47,18.05000000000001,,4
1.48,18.060000000000002,,4
1.49,18.059999999999988,,4
1.5,18.070000000000007,,4
1.51,18.070000000000007,,4
1.52,18.08,,4
1.53,18.080000000000013,,4
1.54,18.090000000000003,,4
1.55,18.090000000000003,,4
1.56,18.08999999999999,,4
1.57,18.10000000000001,,4
1.58,18.11,,4
1.59,18.099999999999994,,4
1.6,18.11,,4
1.61,18.120000000000005,,4
1.62,18.11999999999999,,4
1.63,18.13000000000001,,4
1.64,18.13000000000001,,4
1.65,18.129999999999995,,4
1.66,18.14,,4
1.67,18.14,,4
1.68,18.14999999999999,,4
1.69,18.16000000000001,,4
1.7,18.150000000000006,,4
1.71,18.159999999999997,,4
1.72,18.159999999999997,,4
1.73,18.17,,4
1.74,18.179999999999993,,4
1.75,18.180000000000007,,4
1.76,18.189999999999998,,4
1.77,18.190000000000012,,4
1.78,18.189999999999998,,4
1.79,18.189999999999998,,4
1.8,18.929999999999993,,4
1.81,18.939999999999998,,4
1.82,18.939999999999998,,5
1.83,18.950000000000003,,5
1.84,18.939999999999998,,5
1.85,18.94999999999999,,5
1.86,18.950000000000003,,5
1.87,18.960000000000008,,5
1.88,18.94999999999999,,5
1.89,18.960000000000008,,5
1.9,18.960000000000008,,5
1.91,18.97,,5
1.92,18.960000000000008,,5
1.93,18.97,,5
1.94,18.97,,5
1.95,18.97,,5
1.96,18.97,,5
1.97,18.980000000000004,,5
1.98,18.97,,5
1.99,18.980000000000004,,5
2.0,18.99000000000001,,5
2.01,18.989999999999995,,5
2.02,18.99000000000001,,5
2.03,18.99000000000001,,5
2.04,19.0,,5
2.05,19.0,,5
2.06,19.0,,5
2.07,19.0,,5
2.08,19.010000000000005,,5
2.09,19.099999999999994,,6
2.1,19.10000000000001,,6
2.11,19.11,,6
2.12,19.099999999999994,,6
2.13,19.11,,6
2.14,19.120000000000005,,6
2.15,19.11,,6
2.16,19.120000000000005,,6
2.17,19.120000000000005,,6
2.18,19.129999999999995,,6
2.19,19.129999999999995,,6
2.2,19.11999999999999,,6
2.21,19.13000000000001,,6
2.22,19.129999999999995,,6
2.23,19.14,,6
2.24,19.14,,6
2.25,19.14,,6
2.26,17.480000000000004,,7
2.27,17.489999999999995,,7
2.28,17.489999999999995,,7
2.29,17.49000000000001,,7
2.3,17.5,,7
2.31,17.50999999999999,,7
2.32,17.510000000000005,,7
2.33,17.519999999999996,,7
2.34,17.53,,7
2.35,17.53,,7
2.36,17.540000000000006,,7
2.37,17.539999999999992,,7
2.38,17.560000000000002,,7
2.39,17.560000000000002,,7
2.4,17.569999999999993,,7
2.41,17.569999999999993,,7
2.42,17.570000000000007,,7
2.43,17.590000000000003,,7
2.44,17.58999999999999,,7
2.45,17.60000000000001,,7
2.46,17.599999999999994,,7
2.47,17.61,,7
2.48,17.61999999999999,,7
2.49,17.620000000000005,,7
2.5,17.629999999999995,,7
2.51,17.629999999999995,,7
2.52,17.64,,7
2.53,17.650000000000006,,7
2.54,17.650000000000006,,7
2.55,17.659999999999997,,7
2.56,17.67,,7
2.57,15.560000000000002,,8
2.58,15.57,,8
2.59,15.580000000000005,,8
2.6,15.590000000000003,,8
2.61,15.599999999999994,,8
2.62,15.610000000000007,,8
2.63,15.619999999999997,,8
2.64,15.629999999999995,,8
2.65,15.640000000000008,,8
2.66,15.649999999999999,,8
2.67,15.659999999999997,,8
2.68,15.670000000000009,,8
2.69,15.680000000000007,,8
2.7,15.689999999999998,,8
2.71,15.699999999999996,,8
2.72,15.700000000000003,,8
2.73,15.709999999999994,,8
2.74,15.720000000000006,,8
2.75,15.729999999999997,,8
2.76,15.740000000000002,,8
2.77,15.75,,8
2.78,15.750000000000007,,8
2.79,15.759999999999998,,8
2.8,15.770000000000003,,8
2.81,15.779999999999994,,8
2.82,15.780000000000001,,8
2.83,15.789999999999992,,8
2.84,15.79,,8
2.85,15.79,,8
2.86,15.81000000000001,,8
2.87,15.809999999999995,,8
2.88,15.82,,8
2.89,15.82,,8
2.9,15.830000000000005,,8
2.91,15.830000000000005,,8
2.92,15.839999999999996,,8
2.93,15.850000000000001,,8
2.94,15.839999999999996,,8
2.95,15.850000000000001,,8
2.96,15.86,,8
2.97,15.86,,8
2.98,15.870000000000005,,8
2.99,15.869999999999997,,8
3.0,15.869999999999997,,8
3.01,15.89,,8
3.02,15.89,,8
3.03,15.889999999999993,,8
3.04,15.899999999999991,,8
3.05,15.900000000000006,,8
3.06,15.910000000000004,,8
3.07,15.920000000000002,,8
3.08,15.920000000000002,,8
3.09,15.929999999999993,,8
3.1,15.930000000000007,,8
3.11,15.939999999999998,,8
3.12,15.950000000000003,,8
3.13,15.950000000000003,,8
3.14,15.950000000000003,,8
3.15,15.959999999999994,,8
3.16,15.960000000000008,,8
3.17,15.969999999999999,,8
3.18,15.97999999999999,,8
3.19,15.980000000000004,,8
3.2,15.990000000000009,,8
3.21,15.989999999999995,,8
3.22,16.0,,8
3.23,16.0,,8
3.24,16.0,,8
3.25,16.00999999999999,,8
3.26,16.019999999999996,,8
3.27,16.019999999999996,,8
3.28,16.03,,8
3.29,16.03,,8
3.3,16.040000000000006,,8
3.31,16.05000000000001,,8
3.32,16.05000000000001,,8
3.33,16.049999999999997,,8
3.34,16.070000000000007,,8
3.35,16.070000000000007,,8
3.36,16.070000000000007,,8
3.37,16.080000000000013,,8
3.38,16.08,,8
3.39,16.08,,8
3.4,16.090000000000003,,8
3.41,16.099999999999994,,8
3.42,16.10000000000001,,8
3.43,16.11,,8
3.44,16.11,,8
3.45,16.120000000000005,,8
3.46,16.120000000000005,,8
