vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh3,1018,1.01839,,0,CAM,3,,1018,-1
veh3,1218,1.21839,,0,CAM,3,,1218,-1
veh3,1418,1.41839,,0,CAM,3,,1418,-1
veh3,1618,1.61839,,0,CAM,3,,1618,-1
veh3,1818,1.81839,,0,CAM,3,,1818,-1
veh3,1918,1.91839,,0,CAM,3,,1918,-1
veh3,2018,2.01839,,0,CAM,3,,2018,-1
veh3,2025,,2.02683,1,CAM,2,3,2025,-1
veh3,2087,,2.10583,1,CAM,5,3,2087,-1
veh3,2118,2.11839,,0,CAM,3,,2118,-1
veh3,2199,,2.20358,1,CAM,4,3,2199,-1
veh3,2187,,2.20583,1,CAM,5,3,2187,-1
veh3,2218,2.21839,,0,CAM,3,,2218,-1
veh3,2225,,2.22683,1,CAM,2,3,2225,-1
veh3,2287,,2.30583,1,CAM,5,3,2287,-1
veh3,2318,2.31839,,0,CAM,3,,2318,-1
veh3,2399,,2.40358,1,CAM,4,3,2399,-1
veh3,2387,,2.40583,1,CAM,5,3,2387,-1
veh3,2418,2.41839,,0,CAM,3,,2418,-1
veh3,2425,,2.42683,1,CAM,2,3,2425,-1
veh3,2487,,2.50583,1,CAM,5,3,2487,-1
veh3,2599,,2.60358,1,CAM,4,3,2599,-1
veh3,2618,2.61839,,0,CAM,3,,2618,-1
veh3,2625,,2.62683,1,CAM,2,3,2625,-1
veh3,2699,,2.70358,1,CAM,4,3,2699,-1
veh3,2687,,2.70583,1,CAM,5,3,2687,-1
veh3,2718,2.71839,,0,CAM,3,,2718,-1
veh3,2799,,2.80358,1,CAM,4,3,2799,-1
veh3,2807,,2.80983,1,CAM,6,3,2807,-1
veh3,2818,2.81839,,0,CAM,3,,2818,-1
veh3,2817,,2.81983,1,CAM,7,3,2817,-1
veh3,2825,,2.82683,1,CAM,2,3,2825,-1
veh3,2865,,2.87258,1,CAM,9,3,2865,-1
veh3,2887,,2.90583,1,CAM,5,3,2887,-1
veh3,2907,,2.90983,1,CAM,6,3,2907,-1
veh3,2899,,2.91658,1,CAM,4,3,2899,-1
veh3,2918,2.91839,,0,CAM,3,,2918,-1
veh3,2917,,2.91983,1,CAM,7,3,2917,-1
veh3,3003,,3.00383,1,CAM,8,3,3003,-1
veh3,2987,,3.00583,1,CAM,5,3,2987,-1
veh3,3007,,3.00983,1,CAM,6,3,3007,-1
veh3,2999,,3.01658,1,CAM,4,3,2999,-1
veh3,3018,3.01839,,0,CAM,3,,3018,-1
veh3,3017,,3.01983,1,CAM,7,3,3017,-1
veh3,3025,,3.02683,1,CAM,2,3,3025,-1
veh3,3065,,3.07258,1,CAM,9,3,3065,-1
veh3,3087,,3.10583,1,CAM,5,3,3087,-1
veh3,3107,,3.10983,1,CAM,6,3,3107,-1
veh3,3099,,3.11658,1,CAM,4,3,3099,-1
veh3,3118,3.11839,,0,CAM,3,,3118,-1
veh3,3103,,3.11933,1,CAM,8,3,3103,-1
veh3,3117,,3.11983,1,CAM,7,3,3117,-1
veh3,3187,,3.19808,1,CAM,5,3,3187,-1
veh3,3207,,3.20983,1,CAM,6,3,3207,-1
veh3,3199,,3.21658,1,CAM,4,3,3199,-1
veh3,3218,3.21839,,0,CAM,3,,3218,-1
veh3,3203,,3.21933,1,CAM,8,3,3203,-1
veh3,3217,,3.21983,1,CAM,7,3,3217,-1
veh3,3225,,3.22683,1,CAM,2,3,3225,-1
veh3,3265,,3.27258,1,CAM,9,3,3265,-1
veh3,3287,,3.29808,1,CAM,5,3,3287,-1
veh3,3307,,3.30983,1,CAM,6,3,3307,-1
veh3,3318,3.31839,,0,CAM,3,,3318,-1
veh3,3303,,3.31933,1,CAM,8,3,3303,-1
veh3,3317,,3.31983,1,CAM,7,3,3317,-1
veh3,3387,,3.39808,1,CAM,5,3,3387,-1
veh3,3407,,3.40983,1,CAM,6,3,3407,-1
veh3,3399,,3.41658,1,CAM,4,3,3399,-1
veh3,3418,3.41839,,0,CAM,3,,3418,-1
veh3,3403,,3.41933,1,CAM,8,3,3403,-1
veh3,3417,,3.41983,1,CAM,7,3,3417,-1
veh3,3425,,3.43758,1,CAM,2,3,3425,-1
veh3,3465,,3.47258,1,CAM,9,3,3465,-1
veh3,3487,,3.49808,1,CAM,5,3,3487,-1
