time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.08608,veh5,cpm_reaction,3,2081,18446744073709551615,0.959516,-1,0,1,33
2.87658,veh5,cpm_reaction,4,2862,18446744073709551615,0.35187,-1,1,1,11
3.37658,veh5,cpm_reaction,4,3362,18446744073709551615,0.559145,-1,1,1,11
3.87658,veh5,cpm_reaction,4,3862,18446744073709551615,0.909189,-1,1,1,11
4.87033,veh5,cpm_reaction,4,4862,18446744073709551615,1.01286,-1,1,1,11
5.46633,veh5,cpm_reaction,4,5462,18446744073709551615,0.521831,-1,1,1,11
5.96633,veh5,cpm_reaction,4,5962,18446744073709551615,0.309867,-1,1,1,11
6.48233,veh5,cpm_reaction,4,6462,18446744073709551615,1.581,-1,1,1,11
6.99133,veh5,cpm_reaction,3,6981,18446744073709551615,0.0667048,-1,1,1,11
7.49133,veh5,cpm_reaction,3,7481,18446744073709551615,0.930103,-1,1,1,11
7.99133,veh5,cpm_reaction,3,7981,18446744073709551615,0.92923,-1,1,1,11
8.53683,veh5,cpm_reaction,6,8523,18446744073709551615,1.34449,-1,1,1,11
