vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,331,0.331005,,0,CAM,8,,331,-1
veh8,531,0.531005,,0,CAM,8,,531,-1
veh8,731,0.731005,,0,CAM,8,,731,-1
veh8,931,0.931005,,0,CAM,8,,931,-1
veh8,1131,1.131,,0,CAM,8,,1131,-1
veh8,1331,1.331,,0,CAM,8,,1331,-1
veh8,1531,1.531,,0,CAM,8,,1531,-1
veh8,1731,1.731,,0,CAM,8,,1731,-1
veh8,1931,1.931,,0,CAM,8,,1931,-1
veh8,2007,,2.01608,1,CAM,5,8,2007,-1
veh8,2019,,2.02333,1,CAM,4,8,2019,-1
veh8,2052,,2.05958,1,CAM,6,8,2052,-1
veh8,2050,,2.06358,1,CAM,9,8,2050,-1
veh8,2131,2.131,,0,CAM,8,,2131,-1
veh8,2133,,2.14283,1,CAM,3,8,2133,-1
veh8,2142,,2.14908,1,CAM,7,8,2142,-1
veh8,2152,,2.15458,1,CAM,6,8,2152,-1
veh8,2179,,2.19008,1,CAM,10,8,2179,-1
veh8,2196,,2.21233,1,CAM,2,8,2196,-1
veh8,2207,,2.21608,1,CAM,5,8,2207,-1
veh8,2219,,2.22333,1,CAM,4,8,2219,-1
veh8,2250,,2.25458,1,CAM,9,8,2250,-1
veh8,2331,2.331,,0,CAM,8,,2331,-1
veh8,2333,,2.34283,1,CAM,3,8,2333,-1
veh8,2342,,2.34908,1,CAM,7,8,2342,-1
veh8,2352,,2.35458,1,CAM,6,8,2352,-1
veh8,2379,,2.39008,1,CAM,10,8,2379,-1
veh8,2396,,2.41233,1,CAM,2,8,2396,-1
veh8,2407,,2.41608,1,CAM,5,8,2407,-1
veh8,2419,,2.42333,1,CAM,4,8,2419,-1
veh8,2450,,2.45458,1,CAM,9,8,2450,-1
veh8,2531,2.531,,0,CAM,8,,2531,-1
veh8,2533,,2.54283,1,CAM,3,8,2533,-1
veh8,2542,,2.54908,1,CAM,7,8,2542,-1
veh8,2552,,2.55958,1,CAM,6,8,2552,-1
veh8,2550,,2.56358,1,CAM,9,8,2550,-1
veh8,2579,,2.59008,1,CAM,10,8,2579,-1
veh8,2596,,2.61233,1,CAM,2,8,2596,-1
veh8,2607,,2.61608,1,CAM,5,8,2607,-1
veh8,2598,,2.61733,1,CAM,11,8,2598,-1
veh8,2619,,2.62333,1,CAM,4,8,2619,-1
veh8,2633,,2.64733,1,CAM,3,8,2633,-1
veh8,2650,,2.65458,1,CAM,9,8,2650,-1
veh8,2707,,2.71608,1,CAM,5,8,2707,-1
veh8,2698,,2.71733,1,CAM,11,8,2698,-1
veh8,2731,2.731,,0,CAM,8,,2731,-1
veh8,2733,,2.74733,1,CAM,3,8,2733,-1
veh8,2750,,2.75458,1,CAM,9,8,2750,-1
veh8,2742,,2.75483,1,CAM,7,8,2742,-1
