time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.01608,veh9,drop_decision_no_action,5,2007,132,-1,-1,-1,-1,-1
2.02333,veh9,drop_decision_no_action,4,2019,149,-1,-1,-1,-1,-1
2.03608,veh9,cpm_reaction,5,2022,18446744073709551615,5.17221,-1,0,1,45
2.05958,veh9,drop_decision_no_action,6,2052,196,-1,-1,-1,-1,-1
2.13408,veh9,drop_decision_no_action,8,2131,264,-1,-1,-1,-1,-1
2.14283,veh9,drop_decision_no_action,3,2133,269,-1,-1,-1,-1,-1
2.14908,veh9,drop_decision_no_action,7,2142,278,-1,-1,-1,-1,-1
2.15458,veh9,drop_decision_no_action,6,2152,301,-1,-1,-1,-1,-1
2.19008,veh9,drop_decision_no_action,10,2179,333,-1,-1,-1,-1,-1
2.21233,veh9,drop_decision_no_action,2,2196,359,-1,-1,-1,-1,-1
2.21608,veh9,drop_decision_no_action,5,2207,371,-1,-1,-1,-1,-1
2.22333,veh9,drop_decision_no_action,4,2219,391,-1,-1,-1,-1,-1
2.33408,veh9,drop_decision_no_action,8,2331,499,-1,-1,-1,-1,-1
2.34283,veh9,drop_decision_no_action,3,2333,504,-1,-1,-1,-1,-1
2.34908,veh9,drop_decision_no_action,7,2342,512,-1,-1,-1,-1,-1
2.35458,veh9,drop_decision_no_action,6,2352,535,-1,-1,-1,-1,-1
2.39008,veh9,drop_decision_no_action,10,2379,561,-1,-1,-1,-1,-1
2.41233,veh9,drop_decision_no_action,2,2396,574,-1,-1,-1,-1,-1
2.41608,veh9,drop_decision_no_action,5,2407,586,-1,-1,-1,-1,-1
2.42333,veh9,drop_decision_no_action,4,2419,610,-1,-1,-1,-1,-1
2.53408,veh9,drop_decision_no_action,8,2531,718,-1,-1,-1,-1,-1
2.54283,veh9,drop_decision_no_action,3,2533,723,-1,-1,-1,-1,-1
2.59008,veh9,drop_decision_no_action,10,2579,793,-1,-1,-1,-1,-1
2.61233,veh9,drop_decision_no_action,2,2596,807,-1,-1,-1,-1,-1
2.61608,veh9,drop_decision_no_action,5,2607,818,-1,-1,-1,-1,-1
2.61733,veh9,drop_decision_no_action,11,2598,809,-1,-1,-1,-1,-1
2.62333,veh9,drop_decision_no_action,4,2619,840,-1,-1,-1,-1,-1
2.64733,veh9,drop_decision_no_action,3,2633,869,-1,-1,-1,-1,-1
2.71608,veh9,drop_decision_no_action,5,2707,953,-1,-1,-1,-1,-1
2.71733,veh9,drop_decision_no_action,11,2698,949,-1,-1,-1,-1,-1
2.73408,veh9,drop_decision_no_action,8,2731,988,-1,-1,-1,-1,-1
2.74733,veh9,drop_decision_no_action,3,2733,994,-1,-1,-1,-1,-1
2.75483,veh9,drop_decision_no_action,7,2742,1004,-1,-1,-1,-1,-1
2.76733,veh9,drop_decision_no_action,6,2752,1023,-1,-1,-1,-1,-1
2.79008,veh9,drop_decision_no_action,10,2779,1062,-1,-1,-1,-1,-1
2.80308,veh9,drop_decision_no_action,2,2796,1079,-1,-1,-1,-1,-1
2.81608,veh9,drop_decision_no_action,5,2807,1092,-1,-1,-1,-1,-1
2.81733,veh9,drop_decision_no_action,11,2798,1081,-1,-1,-1,-1,-1
2.83633,veh9,drop_decision_no_action,4,2819,1114,-1,-1,-1,-1,-1
2.84733,veh9,drop_decision_no_action,3,2833,1135,-1,-1,-1,-1,-1
2.91608,veh9,drop_decision_no_action,5,2907,1216,-1,-1,-1,-1,-1
2.91733,veh9,drop_decision_no_action,11,2898,1211,-1,-1,-1,-1,-1
2.93408,veh9,drop_decision_no_action,8,2931,1251,-1,-1,-1,-1,-1
2.94733,veh9,drop_decision_no_action,3,2933,1256,-1,-1,-1,-1,-1
2.95483,veh9,drop_decision_no_action,7,2942,1266,-1,-1,-1,-1,-1
2.96733,veh9,drop_decision_no_action,6,2952,1284,-1,-1,-1,-1,-1
3.00283,veh9,drop_decision_no_action,12,3001,1332,-1,-1,-1,-1,-1
3.00308,veh9,drop_decision_no_action,2,2996,1329,-1,-1,-1,-1,-1
3.01608,veh9,drop_decision_no_action,5,3007,1341,-1,-1,-1,-1,-1
3.01733,veh9,drop_decision_no_action,11,2998,1331,-1,-1,-1,-1,-1
3.03633,veh9,drop_decision_no_action,4,3019,1364,-1,-1,-1,-1,-1
3.04733,veh9,drop_decision_no_action,3,3033,1385,-1,-1,-1,-1,-1
3.09008,veh9,drop_decision_no_action,10,3079,1446,-1,-1,-1,-1,-1
3.11608,veh9,drop_decision_no_action,5,3107,1470,-1,-1,-1,-1,-1
