time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.01608,veh9,drop_decision_no_action,5,2007,132,-1,-1,-1,-1,-1
2.02333,veh9,drop_decision_no_action,4,2019,149,-1,-1,-1,-1,-1
2.03608,veh9,cpm_reaction,5,2022,18446744073709551615,5.17221,-1,0,1,45
2.05958,veh9,drop_decision_no_action,6,2052,196,-1,-1,-1,-1,-1
2.13408,veh9,drop_decision_no_action,8,2131,264,-1,-1,-1,-1,-1
2.14283,veh9,drop_decision_no_action,3,2133,269,-1,-1,-1,-1,-1
2.14908,veh9,drop_decision_no_action,7,2142,278,-1,-1,-1,-1,-1
2.15458,veh9,drop_decision_no_action,6,2152,301,-1,-1,-1,-1,-1
2.19008,veh9,drop_decision_no_action,10,2179,333,-1,-1,-1,-1,-1
2.21233,veh9,drop_decision_no_action,2,2196,359,-1,-1,-1,-1,-1
2.21608,veh9,drop_decision_no_action,5,2207,371,-1,-1,-1,-1,-1
2.22333,veh9,drop_decision_no_action,4,2219,391,-1,-1,-1,-1,-1
2.33408,veh9,drop_decision_no_action,8,2331,499,-1,-1,-1,-1,-1
2.33408,veh9,crash_mode_forced_speed,8,2331,499,-1,-1,-1,-1,30
2.34283,veh9,drop_decision_no_action,3,2333,504,-1,-1,-1,-1,-1
2.34908,veh9,drop_decision_no_action,7,2342,512,-1,-1,-1,-1,-1
2.35958,veh9,drop_decision_no_action,6,2352,536,-1,-1,-1,-1,-1
2.39008,veh9,drop_decision_no_action,10,2379,569,-1,-1,-1,-1,-1
2.41233,veh9,drop_decision_no_action,2,2396,582,-1,-1,-1,-1,-1
2.41608,veh9,drop_decision_no_action,5,2407,594,-1,-1,-1,-1,-1
2.42333,veh9,drop_decision_no_action,4,2419,618,-1,-1,-1,-1,-1
