vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh5,236,0.236417,,0,CAM,5,,236,-1
veh5,436,0.436417,,0,CAM,5,,436,-1
veh5,636,0.636417,,0,CAM,5,,636,-1
veh5,836,0.836417,,0,CAM,5,,836,-1
veh5,1036,1.03642,,0,CAM,5,,1036,-1
veh5,1236,1.23642,,0,CAM,5,,1236,-1
veh5,1436,1.43642,,0,CAM,5,,1436,-1
veh5,1636,1.63642,,0,CAM,5,,1636,-1
veh5,1836,1.83642,,0,CAM,5,,1836,-1
veh5,2004,,2.00733,1,CAM,11,5,2004,-1
veh5,2036,2.03642,,0,CAM,5,,2036,-1
veh5,2034,,2.03758,1,CAM,2,5,2034,-1
veh5,2056,,2.06533,1,CAM,10,5,2056,-1
veh5,2071,,2.08683,1,CAM,3,5,2071,-1
veh5,2084,,2.09308,1,CAM,6,5,2084,-1
veh5,2104,,2.10733,1,CAM,11,5,2104,-1
veh5,2147,,2.15008,1,CAM,7,5,2147,-1
veh5,2204,,2.20733,1,CAM,11,5,2204,-1
veh5,2236,2.23642,,0,CAM,5,,2236,-1
veh5,2234,,2.23758,1,CAM,2,5,2234,-1
veh5,2256,,2.26533,1,CAM,10,5,2256,-1
veh5,2271,,2.28683,1,CAM,3,5,2271,-1
veh5,2284,,2.29308,1,CAM,6,5,2284,-1
veh5,2304,,2.30733,1,CAM,11,5,2304,-1
veh5,2347,,2.35008,1,CAM,7,5,2347,-1
veh5,2404,,2.40733,1,CAM,11,5,2404,-1
veh5,2436,2.43642,,0,CAM,5,,2436,-1
veh5,2434,,2.43758,1,CAM,2,5,2434,-1
veh5,2456,,2.46533,1,CAM,10,5,2456,-1
veh5,2471,,2.48683,1,CAM,3,5,2471,-1
veh5,2484,,2.49308,1,CAM,6,5,2484,-1
veh5,2547,,2.55008,1,CAM,7,5,2547,-1
veh5,2604,,2.60733,1,CAM,11,5,2604,-1
veh5,2636,2.63642,,0,CAM,5,,2636,-1
veh5,2634,,2.63758,1,CAM,2,5,2634,-1
veh5,2656,,2.66533,1,CAM,10,5,2656,-1
veh5,2671,,2.69133,1,CAM,3,5,2671,-1
veh5,2684,,2.69308,1,CAM,6,5,2684,-1
veh5,2736,2.73642,,0,CAM,5,,2736,-1
veh5,2747,,2.75008,1,CAM,7,5,2747,-1
veh5,2771,,2.79133,1,CAM,3,5,2771,-1
veh5,2783,,2.80258,1,CAM,12,5,2783,-1
veh5,2804,,2.80733,1,CAM,11,5,2804,-1
veh5,2836,2.83642,,0,CAM,5,,2836,-1
veh5,2834,,2.83758,1,CAM,2,5,2834,-1
veh5,2856,,2.86533,1,CAM,10,5,2856,-1
veh5,2884,,2.88533,1,CAM,6,5,2884,-1
veh5,2871,,2.89133,1,CAM,3,5,2871,-1
veh5,2883,,2.90258,1,CAM,12,5,2883,-1
