time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.02683,veh6,cpm_reaction,3,2019,18446744073709551615,0.501463,-1,0,1,45
14.7173,veh6,cpm_reaction,11,14710,18446744073709551615,8.86555,-1,1,1,15
15.2373,veh6,cpm_reaction,11,15210,18446744073709551615,8.12166,-1,1,1,15
15.9158,veh6,cpm_reaction,11,15910,18446744073709551615,6.93807,-1,1,1,15
17.5406,veh6,cpm_reaction,5,17538,18446744073709551615,8.196,-1,1,1,15
18.0406,veh6,cpm_reaction,5,18038,18446744073709551615,6.66594,-1,1,1,15
18.5506,veh6,cpm_reaction,5,18538,18446744073709551615,5.20409,-1,1,1,15
19.0506,veh6,cpm_reaction,5,19038,18446744073709551615,3.4548,-1,1,1,15
19.5506,veh6,cpm_reaction,5,19538,18446744073709551615,2.10683,-1,1,1,15
20.0536,veh6,cpm_reaction,5,20038,18446744073709551615,3.35473,-1,1,1,15
20.6358,veh6,cpm_reaction,2,20615,18446744073709551615,6.78757,-1,1,1,15
21.2186,veh6,cpm_reaction,2,21215,18446744073709551615,9.52935,-1,1,1,15
21.7186,veh6,cpm_reaction,2,21715,18446744073709551615,13.2386,-1,1,1,15
22.2281,veh6,cpm_reaction,2,22215,18446744073709551615,16.8746,-1,1,1,15
22.7281,veh6,cpm_reaction,2,22715,18446744073709551615,20.1819,-1,1,1,15
24.0478,veh6,cam_reaction,2,24034,18446744073709551615,22.5736,24.2407,1,1,15
25.0468,veh6,cam_reaction,2,25034,18446744073709551615,37.2697,44.9929,1,1,15
26.0388,veh6,cam_reaction,2,26034,18446744073709551615,51.8511,44.9929,1,1,15
31.2561,veh6,cpm_reaction,5,31238,18446744073709551615,23.7451,-1,1,1,15
