pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
133,2.01008,CPM_DROP_PHY,2008,10,3.0,2.01008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
138,2.01233,CPM_DROP_PHY,2010,2,3.0,2.01233,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
132,2.01608,CAM_DROP_PHY,2007,5,3.0,2.01608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
149,2.02333,CAM_DROP_PHY,2019,4,3.0,2.02333,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
154,2.03608,CPM_DROP_PHY,2022,5,3.0,2.03608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
172,2.04908,CPM_DROP_PHY,2035,7,3.0,2.04908,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
196,2.05958,CAM_DROP_PHY,2052,6,3.0,2.05958,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
194,2.06358,CAM_DROP_PHY,2050,9,3.0,2.06358,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
238,2.11008,CPM_DROP_PHY,2108,10,3.0,2.11008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
243,2.11233,CPM_DROP_PHY,2110,2,3.0,2.11233,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
264,2.13408,CAM_DROP_PHY,2131,8,3.0,2.13408,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
257,2.13608,CPM_DROP_PHY,2122,5,3.0,2.13608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
273,2.14908,CPM_DROP_PHY,2135,7,3.0,2.14908,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
273,2.14908,CAM_DROP_PHY,2142,7,3.0,2.14908,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
302,2.15458,CAM_DROP_PHY,2152,6,3.0,2.15458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
318,2.17458,CPM_DROP_PHY,2161,6,3.0,2.17458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
326,2.18333,CPM_DROP_PHY,2166,4,3.0,2.18333,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
341,2.19008,CAM_DROP_PHY,2179,10,3.0,2.19008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
350,2.19408,CPM_DROP_PHY,2186,8,3.0,2.19408,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
381,2.21008,CPM_DROP_PHY,2208,10,3.0,2.21008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
367,2.21233,CAM_DROP_PHY,2196,2,3.0,2.21233,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
379,2.21608,CAM_DROP_PHY,2207,5,3.0,2.21608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
399,2.22333,CAM_DROP_PHY,2219,4,3.0,2.22333,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
405,2.23608,CPM_DROP_PHY,2222,5,3.0,2.23608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
427,2.24908,CPM_DROP_PHY,2235,7,3.0,2.24908,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
449,2.25458,CAM_DROP_PHY,2250,9,3.0,2.25458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
464,2.27458,CPM_DROP_PHY,2262,9,3.0,2.27458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
496,2.31008,CPM_DROP_PHY,2308,10,3.0,2.31008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
515,2.33408,CAM_DROP_PHY,2331,8,3.0,2.33408,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
508,2.33608,CPM_DROP_PHY,2322,5,3.0,2.33608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
524,2.34908,CPM_DROP_PHY,2335,7,3.0,2.34908,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
553,2.35458,CAM_DROP_PHY,2352,6,3.0,2.35458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
524,2.36458,CAM_DROP_PHY,2342,7,3.0,2.34908,drop_decision_no_action,-1,-1,-1,veh3,-0.015500000000000291,False
593,2.39008,CAM_DROP_PHY,2379,10,3.0,2.39008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
606,2.41233,CAM_DROP_PHY,2396,2,3.0,2.41233,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
618,2.41608,CAM_DROP_PHY,2407,5,3.0,2.41608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
619,2.42333,CPM_DROP_PHY,2408,10,3.0,2.42333,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
642,2.42333,CAM_DROP_PHY,2419,4,3.0,2.42333,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
649,2.43608,CPM_DROP_PHY,2422,5,3.0,2.43608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
694,2.45458,CAM_DROP_PHY,2450,9,3.0,2.45458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
709,2.47958,CPM_DROP_PHY,2461,6,3.0,2.47958,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
710,2.48358,CPM_DROP_PHY,2462,9,3.0,2.48358,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
744,2.49733,CPM_DROP_PHY,2493,11,3.0,2.49733,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
758,2.51008,CPM_DROP_PHY,2508,10,3.0,2.51008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
782,2.53408,CAM_DROP_PHY,2531,8,3.0,2.53408,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
775,2.53608,CPM_DROP_PHY,2522,5,3.0,2.53608,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
823,2.55958,CAM_DROP_PHY,2552,6,3.0,2.55958,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
844,2.57458,CPM_DROP_PHY,2561,6,3.0,2.57458,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
854,2.58333,CPM_DROP_PHY,2566,4,3.0,2.58333,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
879,2.59008,CAM_DROP_PHY,2579,10,3.0,2.59008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
915,2.61008,CPM_DROP_PHY,2608,10,3.0,2.61008,drop_decision_no_action,-1,-1,-1,veh3,0.0,False
