time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.04283,veh5,cpm_reaction,3,2035,18446744073709551615,1.16377,-1,0,1,45
2.56733,veh5,cpm_reaction,3,2535,18446744073709551615,0.865388,-1,1,1,15
3.06733,veh5,cpm_reaction,3,3035,18446744073709551615,3.2133,-1,1,1,15
3.64008,veh5,cpm_reaction,3,3635,18446744073709551615,1.23086,-1,1,1,15
4.15383,veh5,cpm_reaction,7,4135,18446744073709551615,1.04797,-1,1,1,15
4.75233,veh5,cpm_reaction,7,4735,18446744073709551615,1.73525,-1,1,1,15
5.27208,veh5,cpm_reaction,3,5235,18446744073709551615,0.329447,-1,1,1,15
5.85458,veh5,cpm_reaction,3,5835,18446744073709551615,0.777478,-1,1,1,15
6.35458,veh5,cpm_reaction,3,6335,18446744073709551615,0.724869,-1,1,1,15
6.94458,veh5,cpm_reaction,7,6935,18446744073709551615,1.15973,-1,1,1,15
7.54808,veh5,cpm_reaction,3,7535,18446744073709551615,0.373035,-1,1,1,15
8.05008,veh5,cpm_reaction,7,8035,18446744073709551615,1.09137,-1,1,1,15
8.74358,veh5,cpm_reaction,3,8735,18446744073709551615,0.445378,-1,1,1,15
9.24358,veh5,cpm_reaction,3,9235,18446744073709551615,0.694858,-1,1,1,15
10.7688,veh5,cpm_reaction,4,10766,18446744073709551615,0.761011,-1,1,1,15
16.3533,veh5,cpm_reaction,12,16351,18446744073709551615,13.745,-1,1,1,15
23.1071,veh5,cam_reaction,2,23096,18446744073709551615,30.378,22.6145,1,1,15
24.1068,veh5,cam_reaction,2,24096,18446744073709551615,4.45483,22.6145,1,1,15
25.1058,veh5,cam_reaction,2,25096,18446744073709551615,21.5724,24.2407,1,1,15
26.0978,veh5,cam_reaction,2,26096,18446744073709551615,43.4041,44.9929,1,1,15
