time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.01608,veh3,drop_decision_no_action,5,2007,132,-1,-1,-1,-1,-1
2.02333,veh3,drop_decision_no_action,4,2019,149,-1,-1,-1,-1,-1
2.05958,veh3,drop_decision_no_action,6,2052,196,-1,-1,-1,-1,-1
2.06358,veh3,drop_decision_no_action,9,2050,194,-1,-1,-1,-1,-1
2.13408,veh3,drop_decision_no_action,8,2131,264,-1,-1,-1,-1,-1
2.14908,veh3,drop_decision_no_action,7,2142,273,-1,-1,-1,-1,-1
2.15458,veh3,drop_decision_no_action,6,2152,302,-1,-1,-1,-1,-1
2.19008,veh3,drop_decision_no_action,10,2179,341,-1,-1,-1,-1,-1
2.21233,veh3,drop_decision_no_action,2,2196,367,-1,-1,-1,-1,-1
2.21608,veh3,drop_decision_no_action,5,2207,379,-1,-1,-1,-1,-1
2.22333,veh3,drop_decision_no_action,4,2219,399,-1,-1,-1,-1,-1
2.25458,veh3,drop_decision_no_action,9,2250,449,-1,-1,-1,-1,-1
2.33408,veh3,drop_decision_no_action,8,2331,515,-1,-1,-1,-1,-1
2.34908,veh3,drop_decision_no_action,7,2342,524,-1,-1,-1,-1,-1
2.35458,veh3,drop_decision_no_action,6,2352,553,-1,-1,-1,-1,-1
2.39008,veh3,drop_decision_no_action,10,2379,586,-1,-1,-1,-1,-1
2.41233,veh3,drop_decision_no_action,2,2396,599,-1,-1,-1,-1,-1
2.41608,veh3,drop_decision_no_action,5,2407,611,-1,-1,-1,-1,-1
2.42333,veh3,drop_decision_no_action,4,2419,635,-1,-1,-1,-1,-1
2.45458,veh3,drop_decision_no_action,9,2450,687,-1,-1,-1,-1,-1
2.53408,veh3,drop_decision_no_action,8,2531,775,-1,-1,-1,-1,-1
2.55958,veh3,drop_decision_no_action,6,2552,816,-1,-1,-1,-1,-1
2.59008,veh3,drop_decision_no_action,10,2579,859,-1,-1,-1,-1,-1
2.61233,veh3,drop_decision_no_action,2,2596,873,-1,-1,-1,-1,-1
2.61608,veh3,drop_decision_no_action,5,2607,884,-1,-1,-1,-1,-1
2.61733,veh3,drop_decision_no_action,11,2598,875,-1,-1,-1,-1,-1
2.62333,veh3,drop_decision_no_action,4,2619,906,-1,-1,-1,-1,-1
2.71608,veh3,drop_decision_no_action,5,2707,1027,-1,-1,-1,-1,-1
2.71733,veh3,drop_decision_no_action,11,2698,1023,-1,-1,-1,-1,-1
2.73408,veh3,drop_decision_no_action,8,2731,1062,-1,-1,-1,-1,-1
2.75458,veh3,drop_decision_no_action,9,2650,966,-1,-1,-1,-1,-1
2.75458,veh3,drop_decision_no_action,9,2750,1096,-1,-1,-1,-1,-1
2.79008,veh3,drop_decision_no_action,10,2779,1138,-1,-1,-1,-1,-1
2.80308,veh3,drop_decision_no_action,2,2796,1155,-1,-1,-1,-1,-1
2.81608,veh3,drop_decision_no_action,5,2807,1168,-1,-1,-1,-1,-1
2.81733,veh3,drop_decision_no_action,11,2798,1157,-1,-1,-1,-1,-1
2.83633,veh3,drop_decision_no_action,4,2819,1190,-1,-1,-1,-1,-1
2.85458,veh3,drop_decision_no_action,9,2850,1241,-1,-1,-1,-1,-1
2.85483,veh3,drop_decision_no_action,7,2742,1072,-1,-1,-1,-1,-1
2.86733,veh3,drop_decision_no_action,6,2752,1099,-1,-1,-1,-1,-1
2.91608,veh3,drop_decision_no_action,5,2907,1293,-1,-1,-1,-1,-1
2.91733,veh3,drop_decision_no_action,11,2898,1288,-1,-1,-1,-1,-1
2.93408,veh3,drop_decision_no_action,8,2931,1328,-1,-1,-1,-1,-1
2.95483,veh3,drop_decision_no_action,7,2942,1337,-1,-1,-1,-1,-1
2.96733,veh3,drop_decision_no_action,6,2952,1363,-1,-1,-1,-1,-1
3.00283,veh3,drop_decision_no_action,12,3001,1411,-1,-1,-1,-1,-1
3.00308,veh3,drop_decision_no_action,2,2996,1408,-1,-1,-1,-1,-1
3.01608,veh3,drop_decision_no_action,5,3007,1420,-1,-1,-1,-1,-1
3.01733,veh3,drop_decision_no_action,11,2998,1410,-1,-1,-1,-1,-1
3.03633,veh3,drop_decision_no_action,4,3019,1443,-1,-1,-1,-1,-1
3.05458,veh3,drop_decision_no_action,9,3050,1498,-1,-1,-1,-1,-1
3.09008,veh3,drop_decision_no_action,10,3079,1534,-1,-1,-1,-1,-1
3.11608,veh3,drop_decision_no_action,5,3107,1558,-1,-1,-1,-1,-1
3.11733,veh3,drop_decision_no_action,11,3098,1549,-1,-1,-1,-1,-1
3.13408,veh3,drop_decision_no_action,8,3131,1585,-1,-1,-1,-1,-1
3.15483,veh3,drop_decision_no_action,7,3142,1594,-1,-1,-1,-1,-1
3.20308,veh3,drop_decision_no_action,2,3196,1684,-1,-1,-1,-1,-1
3.20833,veh3,drop_decision_no_action,5,3207,1696,-1,-1,-1,-1,-1
3.23633,veh3,drop_decision_no_action,4,3219,1715,-1,-1,-1,-1,-1
3.25383,veh3,drop_decision_no_action,7,3242,1733,-1,-1,-1,-1,-1
3.25458,veh3,drop_decision_no_action,9,3250,1758,-1,-1,-1,-1,-1
3.28758,veh3,drop_decision_no_action,10,3279,1797,-1,-1,-1,-1,-1
3.30283,veh3,drop_decision_no_action,12,3301,1816,-1,-1,-1,-1,-1
3.30833,veh3,drop_decision_no_action,5,3307,1826,-1,-1,-1,-1,-1
3.34958,veh3,drop_decision_no_action,8,3331,1856,-1,-1,-1,-1,-1
3.35383,veh3,drop_decision_no_action,7,3342,1868,-1,-1,-1,-1,-1
3.38758,veh3,drop_decision_no_action,10,3379,1917,-1,-1,-1,-1,-1
3.40308,veh3,drop_decision_no_action,2,3396,1935,-1,-1,-1,-1,-1
3.40833,veh3,drop_decision_no_action,5,3407,1946,-1,-1,-1,-1,-1
3.43008,veh3,drop_decision_no_action,4,3419,1964,-1,-1,-1,-1,-1
3.45383,veh3,drop_decision_no_action,7,3442,1994,-1,-1,-1,-1,-1
3.45458,veh3,drop_decision_no_action,9,3450,2006,-1,-1,-1,-1,-1
3.46733,veh3,drop_decision_no_action,6,3352,1883,-1,-1,-1,-1,-1
3.48758,veh3,drop_decision_no_action,10,3479,2047,-1,-1,-1,-1,-1
3.54958,veh3,drop_decision_no_action,8,3531,2097,-1,-1,-1,-1,-1
3.55383,veh3,drop_decision_no_action,7,3542,2103,-1,-1,-1,-1,-1
3.56733,veh3,drop_decision_no_action,6,3552,2128,-1,-1,-1,-1,-1
3.58758,veh3,drop_decision_no_action,10,3579,2157,-1,-1,-1,-1,-1
3.60208,veh3,drop_decision_no_action,12,3601,2178,-1,-1,-1,-1,-1
3.60308,veh3,drop_decision_no_action,2,3596,2175,-1,-1,-1,-1,-1
3.60833,veh3,drop_decision_no_action,5,3607,2189,-1,-1,-1,-1,-1
3.63008,veh3,drop_decision_no_action,4,3619,2212,-1,-1,-1,-1,-1
3.65383,veh3,drop_decision_no_action,7,3642,2247,-1,-1,-1,-1,-1
3.66883,veh3,drop_decision_no_action,9,3650,2259,-1,-1,-1,-1,-1
3.68758,veh3,drop_decision_no_action,10,3679,2285,-1,-1,-1,-1,-1
3.71433,veh3,drop_decision_no_action,11,3698,2301,-1,-1,-1,-1,-1
3.74958,veh3,drop_decision_no_action,8,3731,2336,-1,-1,-1,-1,-1
3.75383,veh3,drop_decision_no_action,7,3742,2342,-1,-1,-1,-1,-1
3.75983,veh3,drop_decision_no_action,6,3752,2367,-1,-1,-1,-1,-1
3.78758,veh3,drop_decision_no_action,10,3779,2399,-1,-1,-1,-1,-1
3.80308,veh3,drop_decision_no_action,2,3796,2414,-1,-1,-1,-1,-1
3.80833,veh3,drop_decision_no_action,5,3807,2425,-1,-1,-1,-1,-1
3.83008,veh3,drop_decision_no_action,4,3819,2443,-1,-1,-1,-1,-1
3.85383,veh3,drop_decision_no_action,7,3842,2467,-1,-1,-1,-1,-1
3.86883,veh3,drop_decision_no_action,9,3850,2490,-1,-1,-1,-1,-1
3.89308,veh3,drop_decision_no_action,10,3879,2518,-1,-1,-1,-1,-1
3.90208,veh3,drop_decision_no_action,12,3901,2539,-1,-1,-1,-1,-1
3.93008,veh3,drop_decision_no_action,4,3919,2561,-1,-1,-1,-1,-1
3.94958,veh3,drop_decision_no_action,8,3931,2581,-1,-1,-1,-1,-1
3.95983,veh3,drop_decision_no_action,6,3952,2614,-1,-1,-1,-1,-1
4.00308,veh3,drop_decision_no_action,2,3996,2658,-1,-1,-1,-1,-1
4.02383,veh3,drop_decision_no_action,5,4007,2666,-1,-1,-1,-1,-1
4.03008,veh3,drop_decision_no_action,4,4019,2678,-1,-1,-1,-1,-1
4.05383,veh3,drop_decision_no_action,7,4042,2705,-1,-1,-1,-1,-1
4.05983,veh3,drop_decision_no_action,6,4052,2732,-1,-1,-1,-1,-1
4.06883,veh3,drop_decision_no_action,9,4050,2731,-1,-1,-1,-1,-1
4.13008,veh3,drop_decision_no_action,4,4119,2791,-1,-1,-1,-1,-1
