time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.08333,veh5,cpm_reaction,4,2066,18446744073709551615,1.15091,-1,0,1,45
2.58333,veh5,cpm_reaction,4,2566,18446744073709551615,0.393264,-1,1,1,15
3.17633,veh5,cpm_reaction,4,3166,18446744073709551615,0.616237,-1,1,1,15
3.74008,veh5,cpm_reaction,3,3735,18446744073709551615,0.707855,-1,1,1,15
4.28608,veh5,cpm_reaction,4,4266,18446744073709551615,1.02031,-1,1,1,15
4.78608,veh5,cpm_reaction,4,4766,18446744073709551615,1.9635,-1,1,1,15
5.38208,veh5,cpm_reaction,4,5366,18446744073709551615,0.403184,-1,1,1,15
5.88208,veh5,cpm_reaction,4,5866,18446744073709551615,0.696408,-1,1,1,15
6.38208,veh5,cpm_reaction,4,6366,18446744073709551615,1.44965,-1,1,1,15
6.94458,veh5,cpm_reaction,7,6935,18446744073709551615,1.52876,-1,1,1,15
7.58133,veh5,cpm_reaction,4,7566,18446744073709551615,1.41488,-1,1,1,15
8.08133,veh5,cpm_reaction,4,8066,18446744073709551615,1.71553,-1,1,1,15
8.74358,veh5,cpm_reaction,3,8735,18446744073709551615,0.37999,-1,1,1,15
9.24358,veh5,cpm_reaction,3,9235,18446744073709551615,0.37739,-1,1,1,15
