time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.03608,veh6,cpm_reaction,5,2022,18446744073709551615,0.416692,-1,0,1,45
2.54283,veh6,cpm_reaction,3,2535,18446744073709551615,1.0945,-1,1,1,15
3.04733,veh6,cpm_reaction,3,3035,18446744073709551615,1.55989,-1,1,1,15
3.57008,veh6,cpm_reaction,4,3566,18446744073709551615,0.882764,-1,1,1,15
4.07008,veh6,cpm_reaction,4,4066,18446744073709551615,4.34127,-1,1,1,15
4.58608,veh6,cpm_reaction,4,4566,18446744073709551615,1.18158,-1,1,1,15
5.08608,veh6,cpm_reaction,4,5066,18446744073709551615,1.22706,-1,1,1,15
5.64133,veh6,cpm_reaction,5,5622,18446744073709551615,0.555699,-1,1,1,15
6.24308,veh6,cpm_reaction,5,6222,18446744073709551615,0.682278,-1,1,1,15
6.78258,veh6,cpm_reaction,4,6766,18446744073709551615,1.48788,-1,1,1,15
7.33958,veh6,cpm_reaction,5,7322,18446744073709551615,0.659169,-1,1,1,15
7.83958,veh6,cpm_reaction,5,7822,18446744073709551615,0.505552,-1,1,1,15
8.44758,veh6,cpm_reaction,5,8422,18446744073709551615,0.467349,-1,1,1,15
13.0103,veh6,cam_reaction,2,12996,18446744073709551615,71.3741,0,1,1,15
14.0108,veh6,cam_reaction,2,13996,18446744073709551615,56.5658,0,1,1,15
15.0151,veh6,cam_reaction,2,14996,18446744073709551615,41.8499,0,1,1,15
16.0151,veh6,cam_reaction,2,15996,18446744073709551615,27.1646,0,1,1,15
17.0048,veh6,cam_reaction,2,16996,18446744073709551615,12.7608,0,1,1,15
18.0048,veh6,cam_reaction,2,17996,18446744073709551615,3.81536,0,1,1,15
19.0008,veh6,cam_reaction,2,18996,18446744073709551615,17.351,0,1,1,15
20.0168,veh6,cam_reaction,2,19996,18446744073709551615,32.1208,0,1,1,15
20.9996,veh6,cam_reaction,2,20996,18446744073709551615,46.5262,0,1,1,15
22.0091,veh6,cam_reaction,2,21996,18446744073709551615,61.3941,0,1,1,15
