time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.08333,veh5,cpm_reaction,4,2066,18446744073709551615,1.15091,-1,0,1,45
2.58333,veh5,cpm_reaction,4,2566,18446744073709551615,0.393264,-1,1,1,15
3.17633,veh5,cpm_reaction,4,3166,18446744073709551615,0.616237,-1,1,1,15
3.74008,veh5,cpm_reaction,3,3735,18446744073709551615,0.707855,-1,1,1,15
4.28608,veh5,cpm_reaction,4,4266,18446744073709551615,1.02031,-1,1,1,15
4.84658,veh5,cpm_reaction,7,4835,18446744073709551615,0.822897,-1,1,1,15
5.38208,veh5,cpm_reaction,4,5366,18446744073709551615,0.403184,-1,1,1,15
5.88208,veh5,cpm_reaction,4,5866,18446744073709551615,0.696408,-1,1,1,15
6.45458,veh5,cpm_reaction,3,6435,18446744073709551615,0.508927,-1,1,1,15
7.04858,veh5,cpm_reaction,3,7035,18446744073709551615,0.0569594,-1,1,1,15
7.78133,veh5,cpm_reaction,4,7766,18446744073709551615,1.39292,-1,1,1,15
8.44808,veh5,cpm_reaction,3,8435,18446744073709551615,0.380011,-1,1,1,15
9.04358,veh5,cpm_reaction,3,9035,18446744073709551615,0.380002,-1,1,1,15
9.54358,veh5,cpm_reaction,3,9535,18446744073709551615,0.377396,-1,1,1,15
