time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.02433,veh12,cpm_reaction,11,2020,18446744073709551615,0.576964,-1,1,1,11
20.0343,veh12,cam_reaction,2,20023,18446744073709551615,38.5214,0,1,1,11
21.0438,veh12,cam_reaction,2,21023,18446744073709551615,27.6462,0,1,1,11
22.0436,veh12,cam_reaction,2,22023,18446744073709551615,16.9386,0,1,1,11
23.0426,veh12,cam_reaction,2,23023,18446744073709551615,6.58298,0,1,1,11
24.0426,veh12,cam_reaction,2,24023,18446744073709551615,5.79407,0,1,1,11
25.0346,veh12,cam_reaction,2,25023,18446744073709551615,15.9444,0,1,1,11
26.0288,veh12,cam_reaction,2,26023,18446744073709551615,26.5338,0,1,1,11
27.0251,veh12,cam_reaction,2,27023,18446744073709551615,37.2967,0,1,1,11
27.5393,veh12,cpm_reaction,11,27520,18446744073709551615,0.225797,-1,1,1,11
28.1393,veh12,cpm_reaction,11,28120,18446744073709551615,0.23143,-1,1,1,11
28.6586,veh12,cpm_reaction,4,28655,18446744073709551615,0.0414599,-1,1,1,11
29.2388,veh12,cpm_reaction,11,29220,18446744073709551615,0.767325,-1,1,1,11
29.7388,veh12,cpm_reaction,11,29720,18446744073709551615,0.766442,-1,1,1,11
30.2721,veh12,cpm_reaction,4,30255,18446744073709551615,1.51517,-1,1,1,11
30.7721,veh12,cpm_reaction,4,30755,18446744073709551615,1.93402,-1,1,1,11
31.4283,veh12,cpm_reaction,11,31420,18446744073709551615,1.02157,-1,1,1,11
32.8293,veh12,cpm_reaction,11,32720,18446744073709551615,0.290558,-1,1,1,11
34.0396,veh12,cpm_reaction,11,34020,18446744073709551615,0.806925,-1,1,1,11
34.7396,veh12,cpm_reaction,11,34720,18446744073709551615,0.959498,-1,1,1,11
