messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,3,2001,45.0522,7.65489,105.2,21.23,0.5
2,9,2037,45.0525,7.65439,170.5,20.73,0.2
2,6,2034,45.0522,7.65495,90,22,0
2,12,2057,45.053,7.65454,236.9,20,-6.5
2,7,2055,45.0523,7.65468,123.6,21.33,-6.5
2,8,2084,45.0524,7.65449,123.6,20.73,-6.5
2,5,2086,45.0524,7.65441,154.2,20.57,0.5
2,3,2101,45.0522,7.65491,90,21.28,0.5
2,4,2128,45.0523,7.65463,123.6,20.86,0.5
2,6,2134,45.0522,7.65497,90,21.34,-6.5
2,11,2138,45.0529,7.65439,191.2,19.71,-6.5
2,12,2157,45.053,7.65452,236.9,19.35,-6.5
2,10,2155,45.0527,7.65435,182.3,19.52,-6.5
2,7,2155,45.0523,7.65471,123.6,20.68,-6.5
2,8,2184,45.0524,7.65451,123.6,20.08,-6.5
2,5,2186,45.0524,7.65443,134.2,20.26,-4.5
2,3,2201,45.0522,7.65494,90,21.05,-4.5
2,9,2237,45.0525,7.6544,170.5,19.83,-4.5
2,6,2234,45.0522,7.655,90,20.69,-6.5
2,11,2238,45.0528,7.65439,191.2,19.06,-6.5
2,12,2257,45.053,7.6545,236.9,18.7,-6.5
2,10,2255,45.0527,7.65436,174.3,18.87,-6.5
2,7,2255,45.0523,7.65473,123.6,20.03,-6.5
2,8,2284,45.0524,7.65453,123.6,19.43,-6.5
2,5,2286,45.0524,7.65445,123.6,19.81,-4.5
2,3,2301,45.0522,7.65497,90,20.6,-4.5
2,4,2328,45.0523,7.65468,123.6,20.01,-4.5
2,9,2337,45.0525,7.65441,170.5,19.26,-6.5
2,6,2334,45.0522,7.65503,90,20.04,-6.5
2,11,2338,45.0528,7.65438,191.2,18.41,-6.5
2,12,2357,45.053,7.65448,236.9,18.05,-6.5
2,10,2355,45.0526,7.65436,170.5,18.22,-6.5
2,7,2355,45.0523,7.65475,123.6,19.38,-6.5
2,8,2384,45.0524,7.65455,123.6,18.78,-6.5
2,5,2386,45.0524,7.65447,123.6,19.36,-4.5
2,3,2401,45.0522,7.65499,90,20.15,-4.5
2,9,2437,45.0525,7.65441,170.5,18.61,-6.5
2,6,2434,45.0522,7.65505,90,19.39,-6.5
2,11,2438,45.0528,7.65438,191.2,17.76,-6.5
2,12,2457,45.053,7.65446,236.9,17.4,-6.5
2,10,2455,45.0526,7.65437,170.5,17.57,-6.5
2,7,2455,45.0523,7.65477,123.6,18.73,-6.5
2,8,2484,45.0523,7.65457,123.6,18.13,-6.5
2,5,2486,45.0524,7.6545,123.6,18.91,-4.5
2,4,2528,45.0522,7.65472,123.6,19.11,-4.5
2,9,2537,45.0524,7.65441,170.5,17.96,-6.5
2,6,2534,45.0522,7.65507,90,18.74,-6.5
2,11,2538,45.0528,7.65437,191.2,17.11,-6.5
2,12,2557,45.0529,7.65445,236.9,16.75,-6.5
2,10,2555,45.0526,7.65437,170.5,16.92,-6.5
2,7,2555,45.0522,7.65479,123.6,18.08,-6.5
2,8,2584,45.0523,7.65459,123.6,17.48,-6.5
2,5,2586,45.0523,7.65452,123.6,18.46,-4.5
2,3,2601,45.0522,7.65504,90,19.25,-4.5
2,9,2637,45.0524,7.65442,170.5,17.31,-6.5
2,6,2634,45.0522,7.6551,90,18.09,-6.5
2,11,2638,45.0528,7.65437,191.2,16.46,-6.5
2,12,2657,45.0529,7.65443,236.9,16.1,-6.5
2,10,2655,45.0526,7.65438,170.5,16.27,-6.5
2,7,2655,45.0522,7.65486,111.4,17.43,-6.5
2,8,2684,45.0523,7.65461,123.6,16.83,-6.5
2,4,2728,45.0522,7.65476,123.6,18.21,-4.5
2,9,2737,45.0524,7.65442,170.4,16.66,-6.5
2,6,2734,45.0522,7.65512,90,17.44,-6.5
2,11,2738,45.0528,7.65437,191.2,15.81,-6.4
2,12,2757,45.0529,7.65441,236.9,15.45,-6.4
2,10,2755,45.0526,7.65438,170.5,15.62,-6.4
2,7,2755,45.0522,7.65488,105.2,16.78,-6.5
2,5,2786,45.0523,7.65456,123.6,17.56,-4.5
2,8,2784,45.0523,7.65463,123.6,16.18,-6.5
2,3,2801,45.0522,7.65509,90,18.35,-4.5
2,4,2828,45.0522,7.65486,112.8,17.76,-4.5
2,9,2837,45.0524,7.65444,155.5,16.01,-6.5
2,6,2834,45.0522,7.65514,90,16.79,-6.5
2,11,2838,45.0527,7.65436,191.2,15.16,-6.4
2,12,2857,45.0529,7.65441,226.5,14.8,-6.4
2,10,2855,45.0526,7.65438,170.5,14.97,-6.4
2,7,2855,45.0522,7.6549,99.3,16.13,-6.5
2,8,2884,45.0523,7.65465,123.6,15.53,-6.4
2,4,2928,45.0522,7.65488,107.5,17.31,-4.5
2,9,2937,45.0524,7.65446,140,15.36,-6.4
