vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh11,2034,,2.04358,1,CAM,6,11,2034,-1
veh11,2063,,2.06633,1,CAM,3,11,2063,-1
veh11,2055,,2.07408,1,CAM,7,11,2055,-1
veh11,2070,,2.07908,1,CAM,9,11,2070,-1
veh11,2084,,2.08858,1,CAM,8,11,2084,-1
veh11,2087,,2.09058,1,CAM,4,11,2087,-1
veh11,2099,,2.11458,1,CAM,5,11,2099,-1
veh11,2123,,2.13683,1,CAM,2,11,2123,-1
veh11,2163,,2.16633,1,CAM,3,11,2163,-1
veh11,2170,,2.17908,1,CAM,9,11,2170,-1
veh11,2199,,2.20133,1,CAM,5,11,2199,-1
veh11,2234,,2.24358,1,CAM,6,11,2234,-1
veh11,2263,,2.26633,1,CAM,3,11,2263,-1
veh11,2255,,2.27408,1,CAM,7,11,2255,-1
veh11,2269,,2.27608,1,CAM,10,11,2269,-1
veh11,2270,,2.27908,1,CAM,9,11,2270,-1
veh11,2287,,2.29058,1,CAM,4,11,2287,-1
veh11,2284,,2.29708,1,CAM,8,11,2284,-1
veh11,2299,,2.31458,1,CAM,5,11,2299,-1
veh11,2323,,2.33683,1,CAM,2,11,2323,-1
veh11,2334,,2.34358,1,CAM,6,11,2334,-1
veh11,2356,2.35661,,0,CAM,11,,2356,-1
veh11,2363,,2.36633,1,CAM,3,11,2363,-1
veh11,2370,,2.37908,1,CAM,9,11,2370,-1
veh11,2399,,2.40133,1,CAM,5,11,2399,-1
veh11,2434,,2.44358,1,CAM,6,11,2434,-1
veh11,2463,,2.46633,1,CAM,3,11,2463,-1
veh11,2455,,2.47408,1,CAM,7,11,2455,-1
veh11,2470,,2.47908,1,CAM,9,11,2470,-1
veh11,2484,,2.48858,1,CAM,8,11,2484,-1
veh11,2487,,2.49058,1,CAM,4,11,2487,-1
veh11,2499,,2.51458,1,CAM,5,11,2499,-1
veh11,2523,,2.53683,1,CAM,2,11,2523,-1
veh11,2534,,2.54358,1,CAM,6,11,2534,-1
veh11,2563,,2.56633,1,CAM,3,11,2563,-1
veh11,2569,,2.57608,1,CAM,10,11,2569,-1
veh11,2584,,2.59708,1,CAM,8,11,2584,-1
veh11,2599,,2.60133,1,CAM,5,11,2599,-1
veh11,2634,,2.64358,1,CAM,6,11,2634,-1
veh11,2656,2.65661,,0,CAM,11,,2656,-1
veh11,2670,,2.67908,1,CAM,9,11,2670,-1
veh11,2684,,2.68858,1,CAM,8,11,2684,-1
veh11,2687,,2.69058,1,CAM,4,11,2687,-1
veh11,2723,,2.73683,1,CAM,2,11,2723,-1
veh11,2734,,2.74358,1,CAM,6,11,2734,-1
veh11,2763,,2.76633,1,CAM,3,11,2763,-1
veh11,2784,,2.80083,1,CAM,8,11,2784,-1
veh11,2799,,2.80133,1,CAM,5,11,2799,-1
veh11,2834,,2.84358,1,CAM,6,11,2834,-1
veh11,2869,,2.87608,1,CAM,10,11,2869,-1
veh11,2870,,2.87908,1,CAM,9,11,2870,-1
veh11,2887,,2.89058,1,CAM,4,11,2887,-1
veh11,2884,,2.90083,1,CAM,8,11,2884,-1
veh11,2923,,2.93683,1,CAM,2,11,2923,-1
veh11,2956,2.95661,,0,CAM,11,,2956,-1
veh11,2963,,2.96633,1,CAM,3,11,2963,-1
veh11,2855,,2.97408,1,CAM,7,11,2855,-1
veh11,2969,,2.97608,1,CAM,10,11,2969,-1
veh11,2987,,2.99058,1,CAM,4,11,2987,-1
veh11,2999,,3.01458,1,CAM,5,11,2999,-1
veh11,3034,,3.04808,1,CAM,6,11,3034,-1
veh11,3055,,3.07408,1,CAM,7,11,3055,-1
veh11,3069,,3.07608,1,CAM,10,11,3069,-1
veh11,3070,,3.08933,1,CAM,9,11,3070,-1
veh11,3087,,3.09058,1,CAM,4,11,3087,-1
veh11,3084,,3.10083,1,CAM,8,11,3084,-1
veh11,3123,,3.12758,1,CAM,2,11,3123,-1
veh11,3163,,3.16633,1,CAM,3,11,3163,-1
veh11,3155,,3.16708,1,CAM,7,11,3155,-1
veh11,3169,,3.17608,1,CAM,10,11,3169,-1
veh11,3187,,3.19058,1,CAM,4,11,3187,-1
veh11,3199,,3.21458,1,CAM,5,11,3199,-1
veh11,3234,,3.24808,1,CAM,6,11,3234,-1
veh11,3256,3.25661,,0,CAM,11,,3256,-1
veh11,3255,,3.26708,1,CAM,7,11,3255,-1
veh11,3269,,3.27608,1,CAM,10,11,3269,-1
veh11,3270,,3.28933,1,CAM,9,11,3270,-1
veh11,3287,,3.29058,1,CAM,4,11,3287,-1
veh11,3284,,3.30083,1,CAM,8,11,3284,-1
veh11,3323,,3.32758,1,CAM,2,11,3323,-1
veh11,3355,,3.36708,1,CAM,7,11,3355,-1
veh11,3369,,3.37608,1,CAM,10,11,3369,-1
veh11,3363,,3.37908,1,CAM,3,11,3363,-1
veh11,3370,,3.38933,1,CAM,9,11,3370,-1
veh11,3387,,3.39058,1,CAM,4,11,3387,-1
veh11,3399,,3.41458,1,CAM,5,11,3399,-1
veh11,3434,,3.44808,1,CAM,6,11,3434,-1
veh11,3455,,3.46708,1,CAM,7,11,3455,-1
veh11,3470,,3.48933,1,CAM,9,11,3470,-1
veh11,3484,,3.50083,1,CAM,8,11,3484,-1
veh11,3523,,3.52758,1,CAM,2,11,3523,-1
veh11,3556,3.55661,,0,CAM,11,,3556,-1
veh11,3555,,3.56708,1,CAM,7,11,3555,-1
veh11,3563,,3.57908,1,CAM,3,11,3563,-1
veh11,3570,,3.58933,1,CAM,9,11,3570,-1
veh11,3587,,3.60608,1,CAM,4,11,3587,-1
veh11,3599,,3.61883,1,CAM,5,11,3599,-1
veh11,3634,,3.64808,1,CAM,6,11,3634,-1
veh11,3656,3.65661,,0,CAM,11,,3656,-1
veh11,3669,,3.67033,1,CAM,10,11,3669,-1
veh11,3670,,3.68833,1,CAM,9,11,3670,-1
veh11,3684,,3.70083,1,CAM,8,11,3684,-1
veh11,3723,,3.72758,1,CAM,2,11,3723,-1
veh11,3756,3.75661,,0,CAM,11,,3756,-1
veh11,3755,,3.76708,1,CAM,7,11,3755,-1
veh11,3763,,3.77908,1,CAM,3,11,3763,-1
veh11,3770,,3.78833,1,CAM,9,11,3770,-1
veh11,3787,,3.80608,1,CAM,4,11,3787,-1
veh11,3799,,3.81883,1,CAM,5,11,3799,-1
veh11,3834,,3.84808,1,CAM,6,11,3834,-1
veh11,3856,3.85661,,0,CAM,11,,3856,-1
veh11,3869,,3.87033,1,CAM,10,11,3869,-1
veh11,3884,,3.89633,1,CAM,8,11,3884,-1
veh11,3899,,3.91883,1,CAM,5,11,3899,-1
veh11,3923,,3.92508,1,CAM,2,11,3923,-1
veh11,3934,,3.94808,1,CAM,6,11,3934,-1
veh11,3956,3.95661,,0,CAM,11,,3956,-1
veh11,3955,,3.96708,1,CAM,7,11,3955,-1
veh11,3963,,3.97908,1,CAM,3,11,3963,-1
veh11,3970,,3.98833,1,CAM,9,11,3970,-1
veh11,3984,,3.99633,1,CAM,8,11,3984,-1
veh11,3987,,4.00608,1,CAM,4,11,3987,-1
veh11,3999,,4.01883,1,CAM,5,11,3999,-1
veh11,4034,,4.04083,1,CAM,6,11,4034,-1
veh11,4056,4.05661,,0,CAM,11,,4056,-1
veh11,4069,,4.07033,1,CAM,10,11,4069,-1
veh11,4084,,4.09633,1,CAM,8,11,4084,-1
veh11,4099,,4.11883,1,CAM,5,11,4099,-1
veh11,4123,,4.12508,1,CAM,2,11,4123,-1
veh11,4134,,4.14083,1,CAM,6,11,4134,-1
veh11,4156,4.15661,,0,CAM,11,,4156,-1
veh11,4155,,4.16708,1,CAM,7,11,4155,-1
veh11,4169,,4.17033,1,CAM,10,11,4169,-1
veh11,4163,,4.17908,1,CAM,3,11,4163,-1
veh11,4170,,4.18833,1,CAM,9,11,4170,-1
veh11,4184,,4.19633,1,CAM,8,11,4184,-1
veh11,4187,,4.20608,1,CAM,4,11,4187,-1
veh11,4199,,4.21883,1,CAM,5,11,4199,-1
veh11,4234,,4.24083,1,CAM,6,11,4234,-1
veh11,4269,,4.27033,1,CAM,10,11,4269,-1
veh11,4284,,4.29383,1,CAM,8,11,4284,-1
veh11,4299,,4.31883,1,CAM,5,11,4299,-1
veh11,4323,,4.32508,1,CAM,2,11,4323,-1
veh11,4334,,4.34083,1,CAM,6,11,4334,-1
veh11,4355,,4.36083,1,CAM,7,11,4355,-1
veh11,4369,,4.37033,1,CAM,10,11,4369,-1
