vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh2,383,0.383732,,0,CAM,2,,383,-1
veh2,483,0.483732,,0,CAM,2,,483,-1
veh2,583,0.583732,,0,CAM,2,,583,-1
veh2,683,0.683732,,0,CAM,2,,683,-1
veh2,783,0.783732,,0,CAM,2,,783,-1
veh2,883,0.883732,,0,CAM,2,,883,-1
veh2,983,0.983732,,0,CAM,2,,983,-1
veh2,1083,1.08373,,0,CAM,2,,1083,-1
veh2,1183,1.18373,,0,CAM,2,,1183,-1
veh2,1283,1.28373,,0,CAM,2,,1283,-1
veh2,1383,1.38373,,0,CAM,2,,1383,-1
veh2,1483,1.48373,,0,CAM,2,,1483,-1
veh2,1583,1.58373,,0,CAM,2,,1583,-1
veh2,1683,1.68373,,0,CAM,2,,1683,-1
veh2,1983,1.98373,,0,CAM,2,,1983,-1
veh2,2065,,2.06908,1,CAM,4,2,2065,-1
veh2,2224,,2.23183,1,CAM,3,2,2224,-1
veh2,2283,2.28373,,0,CAM,2,,2283,-1
veh2,2365,,2.36908,1,CAM,4,2,2365,-1
veh2,2524,,2.53183,1,CAM,3,2,2524,-1
veh2,2583,2.58373,,0,CAM,2,,2583,-1
veh2,2665,,2.68208,1,CAM,4,2,2665,-1
veh2,2824,,2.83633,1,CAM,3,2,2824,-1
veh2,2883,2.88373,,0,CAM,2,,2883,-1
veh2,2965,,2.98208,1,CAM,4,2,2965,-1
veh2,3124,,3.13633,1,CAM,3,2,3124,-1
veh2,3165,,3.18208,1,CAM,4,2,3165,-1
veh2,3183,3.18373,,0,CAM,2,,3183,-1
veh2,3265,,3.28208,1,CAM,4,2,3265,-1
veh2,3365,,3.38208,1,CAM,4,2,3365,-1
veh2,3424,,3.42908,1,CAM,3,2,3424,-1
veh2,3465,,3.48208,1,CAM,4,2,3465,-1
veh2,3483,3.48373,,0,CAM,2,,3483,-1
veh2,3565,,3.57583,1,CAM,4,2,3565,-1
veh2,3624,,3.62908,1,CAM,3,2,3624,-1
veh2,3665,,3.67583,1,CAM,4,2,3665,-1
veh2,3765,,3.77583,1,CAM,4,2,3765,-1
veh2,3783,3.78373,,0,CAM,2,,3783,-1
veh2,3824,,3.82908,1,CAM,3,2,3824,-1
veh2,3924,,3.92908,1,CAM,3,2,3924,-1
veh2,4024,,4.02908,1,CAM,3,2,4024,-1
veh2,4065,,4.07583,1,CAM,4,2,4065,-1
veh2,4083,4.08373,,0,CAM,2,,4083,-1
veh2,4124,,4.12908,1,CAM,3,2,4124,-1
veh2,4224,,4.22908,1,CAM,3,2,4224,-1
veh2,4324,,4.32908,1,CAM,3,2,4324,-1
veh2,4365,,4.37183,1,CAM,4,2,4365,-1
veh2,4383,4.38373,,0,CAM,2,,4383,-1
veh2,4424,,4.42908,1,CAM,3,2,4424,-1
veh2,4524,,4.52908,1,CAM,3,2,4524,-1
veh2,4624,,4.62908,1,CAM,3,2,4624,-1
veh2,4665,,4.67183,1,CAM,4,2,4665,-1
veh2,4683,4.68373,,0,CAM,2,,4683,-1
veh2,4724,,4.74108,1,CAM,3,2,4724,-1
veh2,4924,,4.94108,1,CAM,3,2,4924,-1
veh2,4965,,4.97183,1,CAM,4,2,4965,-1
veh2,4983,4.98373,,0,CAM,2,,4983,-1
veh2,5124,,5.14108,1,CAM,3,2,5124,-1
veh2,5224,,5.24108,1,CAM,3,2,5224,-1
veh2,5265,,5.27183,1,CAM,4,2,5265,-1
veh2,5283,5.28373,,0,CAM,2,,5283,-1
veh2,5324,,5.34108,1,CAM,3,2,5324,-1
veh2,5383,5.38373,,0,CAM,2,,5383,-1
veh2,5424,,5.44108,1,CAM,3,2,5424,-1
veh2,5483,5.48373,,0,CAM,2,,5483,-1
veh2,5524,,5.54108,1,CAM,3,2,5524,-1
veh2,5565,,5.56783,1,CAM,4,2,5565,-1
veh2,5583,5.58373,,0,CAM,2,,5583,-1
veh2,5624,,5.64108,1,CAM,3,2,5624,-1
veh2,5683,5.68373,,0,CAM,2,,5683,-1
veh2,5724,,5.74108,1,CAM,3,2,5724,-1
veh2,5765,,5.76783,1,CAM,4,2,5765,-1
veh2,5783,5.78373,,0,CAM,2,,5783,-1
veh2,5865,,5.86783,1,CAM,4,2,5865,-1
veh2,5883,5.88373,,0,CAM,2,,5883,-1
veh2,5965,,5.96783,1,CAM,4,2,5965,-1
veh2,5983,5.98373,,0,CAM,2,,5983,-1
veh2,6065,,6.06783,1,CAM,4,2,6065,-1
veh2,6083,6.08373,,0,CAM,2,,6083,-1
veh2,6165,,6.16783,1,CAM,4,2,6165,-1
veh2,6183,6.18373,,0,CAM,2,,6183,-1
veh2,6265,,6.26783,1,CAM,4,2,6265,-1
veh2,6283,6.28373,,0,CAM,2,,6283,-1
veh2,6365,,6.36833,1,CAM,4,2,6365,-1
veh2,6465,,6.46833,1,CAM,4,2,6465,-1
veh2,6565,,6.56833,1,CAM,4,2,6565,-1
veh2,6665,,6.66833,1,CAM,4,2,6665,-1
veh2,6724,,6.74358,1,CAM,3,2,6724,-1
veh2,6765,,6.76833,1,CAM,4,2,6765,-1
veh2,6865,,6.86833,1,CAM,4,2,6865,-1
veh2,6965,,6.96833,1,CAM,4,2,6965,-1
veh2,7065,,7.06833,1,CAM,4,2,7065,-1
veh2,7165,,7.16833,1,CAM,4,2,7165,-1
veh2,7265,,7.26708,1,CAM,4,2,7265,-1
veh2,7283,7.28373,,0,CAM,2,,7283,-1
veh2,7365,,7.36708,1,CAM,4,2,7365,-1
veh2,7465,,7.46708,1,CAM,4,2,7465,-1
veh2,7565,,7.56708,1,CAM,4,2,7565,-1
veh2,7665,,7.66708,1,CAM,4,2,7665,-1
veh2,7724,,7.73758,1,CAM,3,2,7724,-1
veh2,7765,,7.76708,1,CAM,4,2,7765,-1
veh2,7865,,7.86708,1,CAM,4,2,7865,-1
veh2,7965,,7.96708,1,CAM,4,2,7965,-1
veh2,8165,,8.16708,1,CAM,4,2,8165,-1
veh2,8283,8.28373,,0,CAM,2,,8283,-1
veh2,8365,,8.36583,1,CAM,4,2,8365,-1
veh2,8565,,8.56583,1,CAM,4,2,8565,-1
veh2,8724,,8.73708,1,CAM,3,2,8724,-1
veh2,8765,,8.76583,1,CAM,4,2,8765,-1
veh2,8965,,8.96583,1,CAM,4,2,8965,-1
veh2,9165,,9.16583,1,CAM,4,2,9165,-1
veh2,9283,9.28373,,0,CAM,2,,9283,-1
veh2,9465,,9.48033,1,CAM,4,2,9465,-1
veh2,9724,,9.73258,1,CAM,3,2,9724,-1
veh2,9765,,9.78033,1,CAM,4,2,9765,-1
veh2,10065,,10.0851,1,CAM,4,2,10065,-1
veh2,10283,10.2837,,0,CAM,2,,10283,-1
veh2,10365,,10.3851,1,CAM,4,2,10365,-1
veh2,10665,,10.6851,1,CAM,4,2,10665,-1
veh2,10724,,10.7281,1,CAM,3,2,10724,-1
veh2,10965,,10.9851,1,CAM,4,2,10965,-1
veh2,11283,11.2837,,0,CAM,2,,11283,-1
veh2,11265,,11.2851,1,CAM,4,2,11265,-1
veh2,11565,,11.5746,1,CAM,4,2,11565,-1
veh2,11724,,11.7278,1,CAM,3,2,11724,-1
veh2,11865,,11.8746,1,CAM,4,2,11865,-1
veh2,12165,,12.1743,1,CAM,4,2,12165,-1
veh2,12283,12.2837,,0,CAM,2,,12283,-1
veh2,12465,,12.4743,1,CAM,4,2,12465,-1
veh2,12724,,12.7426,1,CAM,3,2,12724,-1
veh2,12765,,12.7751,1,CAM,4,2,12765,-1
veh2,13065,,13.0751,1,CAM,4,2,13065,-1
veh2,13283,13.2837,,0,CAM,2,,13283,-1
veh2,13365,,13.3726,1,CAM,4,2,13365,-1
veh2,13665,,13.6726,1,CAM,4,2,13665,-1
veh2,13724,,13.7301,1,CAM,3,2,13724,-1
veh2,13965,,13.9726,1,CAM,4,2,13965,-1
veh2,14265,,14.2726,1,CAM,4,2,14265,-1
veh2,14283,14.2837,,0,CAM,2,,14283,-1
veh2,14565,,14.5681,1,CAM,4,2,14565,-1
veh2,14724,,14.7273,1,CAM,3,2,14724,-1
veh2,14865,,14.8681,1,CAM,4,2,14865,-1
veh2,15165,,15.1681,1,CAM,4,2,15165,-1
veh2,15283,15.2837,,0,CAM,2,,15283,-1
veh2,15465,,15.4763,1,CAM,4,2,15465,-1
veh2,15724,,15.7388,1,CAM,3,2,15724,-1
veh2,15765,,15.7763,1,CAM,4,2,15765,-1
veh2,16065,,16.0753,1,CAM,4,2,16065,-1
veh2,16283,16.2837,,0,CAM,2,,16283,-1
veh2,16365,,16.3753,1,CAM,4,2,16365,-1
veh2,16665,,16.6753,1,CAM,4,2,16665,-1
veh2,16724,,16.7376,1,CAM,3,2,16724,-1
veh2,16965,,16.9753,1,CAM,4,2,16965,-1
veh2,17265,,17.2693,1,CAM,4,2,17265,-1
veh2,17283,17.2837,,0,CAM,2,,17283,-1
veh2,17565,,17.5693,1,CAM,4,2,17565,-1
veh2,17724,,17.7306,1,CAM,3,2,17724,-1
veh2,17865,,17.8693,1,CAM,4,2,17865,-1
veh2,18165,,18.1693,1,CAM,4,2,18165,-1
veh2,18283,18.2837,,0,CAM,2,,18283,-1
veh2,18465,,18.4793,1,CAM,4,2,18465,-1
veh2,18724,,18.7286,1,CAM,3,2,18724,-1
veh2,18765,,18.7793,1,CAM,4,2,18765,-1
veh2,19065,,19.0793,1,CAM,4,2,19065,-1
veh2,19283,19.2837,,0,CAM,2,,19283,-1
veh2,19365,,19.3823,1,CAM,4,2,19365,-1
veh2,19665,,19.6823,1,CAM,4,2,19665,-1
veh2,19724,,19.7288,1,CAM,3,2,19724,-1
