messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,9,11989,45.0524,7.65445,144.5,16,0
2,3,12024,45.0523,7.65701,90,11,0
2,6,12034,45.0522,7.65597,90,12.06,0.3
2,9,12089,45.0524,7.65447,129.2,16,0
2,2,12123,45.0522,7.65651,90,0.03,-0.5
2,5,12137,45.0523,7.65633,90,8.25,3.5
2,6,12134,45.0522,7.65598,90,12.11,0.5
2,7,12164,45.0522,7.65569,90,13.07,0.1
2,10,12170,45.0528,7.65437,191.2,16,0
2,4,12175,45.0522,7.65642,90,29.98,0
2,9,12189,45.0524,7.65449,123.6,16,0
2,6,12234,45.0522,7.656,90,12.17,0.6
2,8,12261,45.0522,7.6551,90,16,0
2,4,12275,45.0522,7.65645,90,29.33,-6.5
2,9,12289,45.0524,7.6545,123.6,16,0
2,5,12337,45.0523,7.65635,90,8.95,3.5
2,7,12364,45.0522,7.65572,90,13.11,0.3
2,4,12375,45.0522,7.65649,90,28.68,-6.5
2,9,12389,45.0524,7.65452,123.6,16,0
2,3,12424,45.0523,7.65707,90,11,0
2,10,12470,45.0527,7.65436,191.2,16,0
2,4,12475,45.0522,7.65653,90,28.03,-6.5
2,9,12489,45.0524,7.65454,123.6,16,0
2,5,12537,45.0523,7.65638,90,9.65,3.5
2,8,12561,45.0522,7.65516,90,16,0
2,7,12564,45.0522,7.65575,90,13.2,0.5
2,4,12575,45.0522,7.65656,90,27.38,-6.5
2,6,12634,45.0522,7.65606,90,12.55,1.2
2,4,12675,45.0522,7.65659,90,26.73,-6.5
2,5,12737,45.0523,7.6564,90,10.35,3.5
2,10,12770,45.0527,7.65435,191.2,16,0
2,4,12775,45.0522,7.65663,90,26.08,-6.5
2,9,12789,45.0523,7.65459,123.6,16,0
2,3,12824,45.0523,7.65712,90,11,0
2,8,12861,45.0522,7.65522,90,16,0
2,4,12875,45.0522,7.65666,90,25.43,-6.5
2,5,12937,45.0523,7.65643,90,11.05,3.5
2,10,12970,45.0527,7.65435,182.7,16,0
2,7,12964,45.0522,7.65582,90,13.5,0.9
2,4,12975,45.0522,7.65669,90,24.78,-6.5
2,6,13034,45.0523,7.65612,90,13.13,1.6
2,10,13070,45.0527,7.65436,176,16,0
2,4,13075,45.0522,7.65672,90,24.13,-6.5
2,9,13089,45.0523,7.65464,123.6,16,0
2,2,13123,45.0522,7.65651,90,0,0
2,5,13137,45.0523,7.65646,90,11.75,3.5
2,8,13161,45.0522,7.65528,90,16,0
2,10,13170,45.0526,7.65436,170.5,16,0
2,4,13175,45.0522,7.65675,90,23.48,-6.5
2,3,13224,45.0523,7.65718,90,11.31,3.5
2,10,13270,45.0526,7.65437,170.5,16,0
2,4,13275,45.0522,7.65678,90,22.83,-6.5
2,6,13334,45.0523,7.65617,90,13.67,1.9
2,5,13337,45.0523,7.65649,90,12.45,3.5
2,7,13264,45.0522,7.65587,90,13.83,1.2
2,4,13375,45.0522,7.65681,90,22.18,-6.5
2,10,13370,45.0526,7.65437,170.5,16,0
2,9,13389,45.0523,7.65469,123.6,16,0
2,3,13424,45.0523,7.65721,90,12.01,3.5
2,8,13461,45.0522,7.65534,90,16,0
2,4,13475,45.0522,7.65684,90,21.53,-6.5
2,10,13470,45.0526,7.65437,170.5,16,0
2,5,13537,45.0523,7.65652,90,13.15,3.5
2,7,13564,45.0522,7.65592,90,14.24,1.4
2,4,13575,45.0522,7.65686,90,20.88,-6.5
2,3,13624,45.0523,7.65724,90,12.71,3.5
2,6,13634,45.0523,7.65622,90,14.29,2.1
2,4,13675,45.0522,7.65689,90,20.23,-6.5
2,9,13689,45.0523,7.65474,123.6,16,0
2,5,13737,45.0523,7.65655,90,13.85,3.5
2,8,13761,45.0522,7.6554,90,16,0
2,4,13775,45.0522,7.65691,90,19.58,-6.5
2,10,13770,45.0526,7.65438,170.5,16,0
2,3,13824,45.0523,7.65727,90,13.41,3.5
