time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
3.95508,veh4,drop_decision_no_action,3,3924,1951,-1,-1,-1,-1,-1
4.15508,veh4,drop_decision_no_action,3,4124,2164,-1,-1,-1,-1,-1
4.35508,veh4,drop_decision_no_action,3,4324,2365,-1,-1,-1,-1,-1
11.0531,veh4,drop_decision_no_action,5,11037,10303,-1,-1,-1,-1,-1
11.1501,veh4,drop_decision_no_action,2,11123,10403,-1,-1,-1,-1,-1
11.3531,veh4,drop_decision_no_action,5,11337,10669,-1,-1,-1,-1,-1
11.5531,veh4,drop_decision_no_action,5,11537,10922,-1,-1,-1,-1,-1
11.7531,veh4,drop_decision_no_action,5,11737,11190,-1,-1,-1,-1,-1
11.9383,veh4,drop_decision_no_action,5,11937,11451,-1,-1,-1,-1,-1
11.9576,veh4,drop_decision_no_action,6,11934,11450,-1,-1,-1,-1,-1
12.0576,veh4,drop_decision_no_action,6,12034,11592,-1,-1,-1,-1,-1
12.1383,veh4,drop_decision_no_action,5,12137,11713,-1,-1,-1,-1,-1
12.1576,veh4,drop_decision_no_action,6,12134,11710,-1,-1,-1,-1,-1
12.1576,veh4,crash_mode_forced_speed,6,12134,11710,-1,-1,-1,-1,30
12.2576,veh4,drop_decision_no_action,6,12234,11871,-1,-1,-1,-1,-1
12.5521,veh4,drop_decision_no_action,5,12537,12302,-1,-1,-1,-1,-1
17.5656,veh4,drop_decision_no_action,5,17537,20004,-1,-1,-1,-1,-1
17.7656,veh4,drop_decision_no_action,5,17737,20314,-1,-1,-1,-1,-1
17.9518,veh4,drop_decision_no_action,5,17937,20609,-1,-1,-1,-1,-1
18.1511,veh4,drop_decision_no_action,5,18137,20915,-1,-1,-1,-1,-1
18.1576,veh4,crash_mode_restore,-1,-1,18446744073709551615,-1,-1,-1,-1,-1
18.3511,veh4,drop_decision_no_action,5,18337,21207,-1,-1,-1,-1,-1
18.4526,veh4,drop_decision_no_action,6,18434,21335,-1,-1,-1,-1,-1
18.5511,veh4,drop_decision_no_action,5,18537,21480,-1,-1,-1,-1,-1
18.7511,veh4,drop_decision_no_action,5,18737,21758,-1,-1,-1,-1,-1
18.9586,veh4,drop_decision_no_action,6,18934,22033,-1,-1,-1,-1,-1
18.9623,veh4,drop_decision_no_action,5,18937,22038,-1,-1,-1,-1,-1
19.1623,veh4,drop_decision_no_action,5,19137,22338,-1,-1,-1,-1,-1
19.4586,veh4,drop_decision_no_action,6,19434,22758,-1,-1,-1,-1,-1
