vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,3075,,3.09908,1,CAM,4,8,3075,-1
veh8,3123,,3.12758,1,CAM,2,8,3123,-1
veh8,3124,,3.13308,1,CAM,3,8,3124,-1
veh8,3137,,3.14258,1,CAM,5,8,3137,-1
veh8,3134,,3.14808,1,CAM,6,8,3134,-1
veh8,3175,,3.19908,1,CAM,4,8,3175,-1
veh8,3264,,3.28108,1,CAM,7,8,3264,-1
veh8,3275,,3.29908,1,CAM,4,8,3275,-1
veh8,3324,,3.32533,1,CAM,3,8,3324,-1
veh8,3323,,3.32758,1,CAM,2,8,3323,-1
veh8,3337,,3.34258,1,CAM,5,8,3337,-1
veh8,3375,,3.41808,1,CAM,4,8,3375,-1
veh8,3434,,3.44808,1,CAM,6,8,3434,-1
veh8,3524,,3.52533,1,CAM,3,8,3524,-1
veh8,3523,,3.52758,1,CAM,2,8,3523,-1
veh8,3537,,3.54258,1,CAM,5,8,3537,-1
veh8,3564,,3.58108,1,CAM,7,8,3564,-1
veh8,3575,,3.59908,1,CAM,4,8,3575,-1
veh8,3661,3.66199,,0,CAM,8,,3661,-1
veh8,3724,,3.72533,1,CAM,3,8,3724,-1
veh8,3723,,3.72758,1,CAM,2,8,3723,-1
veh8,3737,,3.74258,1,CAM,5,8,3737,-1
veh8,3734,,3.74808,1,CAM,6,8,3734,-1
veh8,3764,,3.78108,1,CAM,7,8,3764,-1
veh8,3837,,3.84158,1,CAM,5,8,3837,-1
veh8,3864,,3.88108,1,CAM,7,8,3864,-1
veh8,3923,,3.92508,1,CAM,2,8,3923,-1
veh8,3924,,3.94083,1,CAM,3,8,3924,-1
veh8,3937,,3.94158,1,CAM,5,8,3937,-1
veh8,3961,3.96199,,0,CAM,8,,3961,-1
veh8,3964,,3.98108,1,CAM,7,8,3964,-1
veh8,3975,,3.99808,1,CAM,4,8,3975,-1
veh8,4034,,4.04083,1,CAM,6,8,4034,-1
veh8,4037,,4.04158,1,CAM,5,8,4037,-1
veh8,4064,,4.08108,1,CAM,7,8,4064,-1
veh8,4123,,4.12508,1,CAM,2,8,4123,-1
veh8,4124,,4.14083,1,CAM,3,8,4124,-1
veh8,4137,,4.14158,1,CAM,5,8,4137,-1
veh8,4164,,4.17483,1,CAM,7,8,4164,-1
veh8,4175,,4.19808,1,CAM,4,8,4175,-1
veh8,4234,,4.24083,1,CAM,6,8,4234,-1
veh8,4237,,4.24158,1,CAM,5,8,4237,-1
veh8,4261,4.26199,,0,CAM,8,,4261,-1
veh8,4264,,4.27483,1,CAM,7,8,4264,-1
veh8,4323,,4.32508,1,CAM,2,8,4323,-1
veh8,4334,,4.34083,1,CAM,6,8,4334,-1
veh8,4324,,4.34083,1,CAM,3,8,4324,-1
veh8,4337,,4.34158,1,CAM,5,8,4337,-1
veh8,4375,,4.39158,1,CAM,4,8,4375,-1
veh8,4434,,4.44083,1,CAM,6,8,4434,-1
veh8,4524,,4.53833,1,CAM,3,8,4524,-1
veh8,4534,,4.54083,1,CAM,6,8,4534,-1
veh8,4537,,4.54158,1,CAM,5,8,4537,-1
veh8,4523,,4.54383,1,CAM,2,8,4523,-1
veh8,4561,4.56199,,0,CAM,8,,4561,-1
veh8,4564,,4.57483,1,CAM,7,8,4564,-1
veh8,4575,,4.59158,1,CAM,4,8,4575,-1
veh8,4634,,4.64083,1,CAM,6,8,4634,-1
veh8,4724,,4.73833,1,CAM,3,8,4724,-1
veh8,4734,,4.74083,1,CAM,6,8,4734,-1
veh8,4737,,4.74158,1,CAM,5,8,4737,-1
veh8,4723,,4.74383,1,CAM,2,8,4723,-1
veh8,4775,,4.79158,1,CAM,4,8,4775,-1
veh8,4861,4.86199,,0,CAM,8,,4861,-1
veh8,4864,,4.87083,1,CAM,7,8,4864,-1
veh8,4924,,4.93833,1,CAM,3,8,4924,-1
