Frame Cars_Data PathLoss RSSI
80 "[{'vehId': 'veh3', 'x_coor': 247.17892308731012, 'y_coor': 130.42641356258537, 'z_coor': 11.437752723693848, 'angle': np.float64(-2.5270827824165107), 'velocity': 15.065133229889781}, {'vehId': 'veh7', 'x_coor': 23.75254451096697, 'y_coor': 76.4107969399683, 'z_coor': 10.603557586669922, 'angle': np.float64(-5.666582950513973), 'velocity': 13.984399983904087}, {'vehId': 'veh9', 'x_coor': 152.8153317168456, 'y_coor': 164.62910752449028, 'z_coor': 10.031770706176758, 'angle': np.float64(-5.796695639371578), 'velocity': 14.064159323148683}]" "{'veh3': {'veh3': 0, 'veh7': np.float32(-88.3944), 'veh9': np.float32(-83.1395)}, 'veh7': {'veh3': np.float32(-88.92597), 'veh7': 0, 'veh9': np.float32(-86.911026)}, 'veh9': {'veh3': np.float32(-83.29985), 'veh7': np.float32(-86.93566), 'veh9': 0}}" "{'veh3': {'veh3': 0, 'veh7': np.float32(-68.3944), 'veh9': np.float32(-63.139503)}, 'veh7': {'veh3': np.float32(-68.92597), 'veh7': 0, 'veh9': np.float32(-66.911026)}, 'veh9': {'veh3': np.float32(-63.29985), 'veh7': np.float32(-66.93566), 'veh9': 0}}"
81 "[{'vehId': 'veh3', 'x_coor': 257.7093710272266, 'y_coor': 137.64646965206344, 'z_coor': 11.033129692077637, 'angle': np.float64(-2.541252613126314), 'velocity': 12.76927264012631}, {'vehId': 'veh7', 'x_coor': 12.691817195488113, 'y_coor': 68.3950068061817, 'z_coor': 9.825885772705078, 'angle': np.float64(-5.6554745550991905), 'velocity': 13.648996409366601}, {'vehId': 'veh9', 'x_coor': 140.09983785046842, 'y_coor': 157.90404146916296, 'z_coor': 10.000000953674316, 'angle': np.float64(-5.79669563937157), 'velocity': 14.384060516943476}]" "{'veh3': {'veh3': 0, 'veh7': np.float32(-90.521164), 'veh9': np.float32(-81.98043)}, 'veh7': {'veh3': np.float32(-90.52309), 'veh7': 0, 'veh9': np.float32(-86.72534)}, 'veh9': {'veh3': np.float32(-81.98037), 'veh7': np.float32(-86.72545), 'veh9': 0}}" "{'veh3': {'veh3': 0, 'veh7': np.float32(-70.521164), 'veh9': np.float32(-61.98043)}, 'veh7': {'veh3': np.float32(-70.52309), 'veh7': 0, 'veh9': np.float32(-66.72534)}, 'veh9': {'veh3': np.float32(-61.98037), 'veh7': np.float32(-66.72545), 'veh9': 0}}"
82 "[{'vehId': 'veh3', 'x_coor': 265.1097488569848, 'y_coor': 142.5595902731659, 'z_coor': 10.979595184326172, 'angle': np.float64(-2.558025504826344), 'velocity': 8.884924316542087}, {'vehId': 'veh7', 'x_coor': 1.5540584835666778, 'y_coor': 60.26421611805739, 'z_coor': 9.037054061889648, 'angle': np.float64(-5.652444165648484), 'velocity': 13.796013601718233}, {'vehId': 'veh9', 'x_coor': 127.23571953944776, 'y_coor': 150.57375030344286, 'z_coor': 10.067157745361328, 'angle': np.float64(-5.7489481083598974), 'velocity': 14.558181966481984}]" "{'veh3': {'veh3': 0, 'veh7': np.float32(-98.28706), 'veh9': np.float32(-81.90384)}, 'veh7': {'veh3': np.float32(-98.432465), 'veh7': 0, 'veh9': np.float32(-87.085785)}, 'veh9': {'veh3': np.float32(-81.90677), 'veh7': np.float32(-87.083664), 'veh9': 0}}" "{'veh3': {'veh3': 0, 'veh7': np.float32(-78.28706), 'veh9': np.float32(-61.90384)}, 'veh7': {'veh3': np.float32(-78.432465), 'veh7': 0, 'veh9': np.float32(-67.085785)}, 'veh9': {'veh3': np.float32(-61.90677), 'veh7': np.float32(-67.083664), 'veh9': 0}}"
83 "[{'vehId': 'veh12', 'x_coor': 164.60987106411318, 'y_coor': 106.3467478534725, 'z_coor': 7.214814186096191, 'angle': np.float64(-5.723437359214607), 'velocity': 0.0}, {'vehId': 'veh3', 'x_coor': 269.054447277266, 'y_coor': 145.16419079805542, 'z_coor': 10.72692584991455, 'angle': np.float64(-2.558025504826344), 'velocity': 4.728140266817857}, {'vehId': 'veh7', 'x_coor': -9.683397846677849, 'y_coor': 52.0130746750753, 'z_coor': 8.434804916381836, 'angle': np.float64(-5.647753677084022), 'velocity': 13.946151318459533}, {'vehId': 'veh9', 'x_coor': 114.53797256801118, 'y_coor': 142.57566068948745, 'z_coor': 10.325798988342285, 'angle': np.float64(-5.718344584003517), 'velocity': 14.946309403832323}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-94.359085), 'veh7': -200, 'veh9': np.float32(-80.027756)}, 'veh3': {'veh12': np.float32(-94.3587), 'veh3': 0, 'veh7': np.float32(-121.49415), 'veh9': np.float32(-84.98913)}, 'veh7': {'veh12': -200, 'veh3': np.float32(-121.4939), 'veh7': 0, 'veh9': np.float32(-85.60448)}, 'veh9': {'veh12': np.float32(-80.09026), 'veh3': np.float32(-84.993965), 'veh7': np.float32(-85.60447), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-74.359085), 'veh7': -180, 'veh9': np.float32(-60.027756)}, 'veh3': {'veh12': np.float32(-74.3587), 'veh3': 0, 'veh7': np.float32(-101.49415), 'veh9': np.float32(-64.98913)}, 'veh7': {'veh12': -180, 'veh3': np.float32(-101.4939), 'veh7': 0, 'veh9': np.float32(-65.60448)}, 'veh9': {'veh12': np.float32(-60.090263), 'veh3': np.float32(-64.993965), 'veh7': np.float32(-65.60447), 'veh9': 0}}"
84 "[{'vehId': 'veh12', 'x_coor': 163.2941316799591, 'y_coor': 105.5223075743989, 'z_coor': 7.0044050216674805, 'angle': np.float64(-5.7234373592145955), 'velocity': 1.549669988709502}, {'vehId': 'veh3', 'x_coor': 274.9184979713853, 'y_coor': 145.39728081302474, 'z_coor': 10.704345703125, 'angle': np.float64(-3.208367643166621), 'velocity': 6.030625438989004}, {'vehId': 'veh7', 'x_coor': -20.804727686399474, 'y_coor': 43.73278338641694, 'z_coor': 8.0, 'angle': np.float64(-5.64256009256847), 'velocity': 13.866255521064387}, {'vehId': 'veh9', 'x_coor': 101.96038221213053, 'y_coor': 134.6050711103489, 'z_coor': 10.583553314208984, 'angle': np.float64(-5.71834458400352), 'velocity': 14.861732942740685}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-101.20225), 'veh7': np.float32(-96.67232), 'veh9': np.float32(-82.25502)}, 'veh3': {'veh12': np.float32(-101.20123), 'veh3': 0, 'veh7': -200, 'veh9': np.float32(-87.80704)}, 'veh7': {'veh12': np.float32(-96.67229), 'veh3': -200, 'veh7': 0, 'veh9': np.float32(-86.87782)}, 'veh9': {'veh12': np.float32(-82.373955), 'veh3': np.float32(-87.807045), 'veh7': np.float32(-86.90963), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-81.20225), 'veh7': np.float32(-76.67232), 'veh9': np.float32(-62.25502)}, 'veh3': {'veh12': np.float32(-81.20123), 'veh3': 0, 'veh7': -180, 'veh9': np.float32(-67.80704)}, 'veh7': {'veh12': np.float32(-76.67229), 'veh3': -180, 'veh7': 0, 'veh9': np.float32(-66.87782)}, 'veh9': {'veh12': np.float32(-62.373955), 'veh3': np.float32(-67.807045), 'veh7': np.float32(-66.90963), 'veh9': 0}}"
85 "[{'vehId': 'veh12', 'x_coor': 160.58243520801244, 'y_coor': 103.82316272624826, 'z_coor': 6.570760250091553, 'angle': np.float64(-5.723437359214607), 'velocity': 3.1938199096824977}, {'vehId': 'veh3', 'x_coor': 282.18082557242946, 'y_coor': 145.2581441914611, 'z_coor': 10.717890739440918, 'angle': np.float64(-2.8964428772378072), 'velocity': 7.407379213553717}, {'vehId': 'veh7', 'x_coor': -29.94999894660708, 'y_coor': 36.914836656725754, 'z_coor': 8.0, 'angle': np.float64(-5.642560092568463), 'velocity': 11.407604015270849}, {'vehId': 'veh9', 'x_coor': 90.06810005265106, 'y_coor': 126.6886184064602, 'z_coor': 11.0, 'angle': np.float64(-5.659752224635854), 'velocity': 14.264457275009967}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-102.10921), 'veh7': np.float32(-100.08378), 'veh9': np.float32(-85.680885)}, 'veh3': {'veh12': np.float32(-102.10915), 'veh3': 0, 'veh7': np.float32(-122.98398), 'veh9': np.float32(-87.85277)}, 'veh7': {'veh12': np.float32(-100.07041), 'veh3': np.float32(-122.98504), 'veh7': 0, 'veh9': np.float32(-85.12101)}, 'veh9': {'veh12': np.float32(-85.98802), 'veh3': np.float32(-87.85271), 'veh7': np.float32(-85.120995), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-82.10921), 'veh7': np.float32(-80.08378), 'veh9': np.float32(-65.680885)}, 'veh3': {'veh12': np.float32(-82.10915), 'veh3': 0, 'veh7': np.float32(-102.98398), 'veh9': np.float32(-67.85277)}, 'veh7': {'veh12': np.float32(-80.07041), 'veh3': np.float32(-102.98504), 'veh7': 0, 'veh9': np.float32(-65.12101)}, 'veh9': {'veh12': np.float32(-65.98802), 'veh3': np.float32(-67.85271), 'veh7': np.float32(-65.120995), 'veh9': 0}}"
86 "[{'vehId': 'veh12', 'x_coor': 156.2834847638041, 'y_coor': 101.12944697476212, 'z_coor': 5.836105823516846, 'angle': np.float64(-5.723437359214586), 'velocity': 5.063278158707544}, {'vehId': 'veh3', 'x_coor': 290.95130062075356, 'y_coor': 149.5099379714461, 'z_coor': 10.30544662475586, 'angle': np.float64(-2.69019105401732), 'velocity': 9.74741444706065}, {'vehId': 'veh7', 'x_coor': -36.94820885132958, 'y_coor': 31.69755868037936, 'z_coor': 8.0, 'angle': np.float64(-5.642560092568463), 'velocity': 8.729408361694448}, {'vehId': 'veh9', 'x_coor': 78.20318121505153, 'y_coor': 118.15650105774176, 'z_coor': 11.115472793579102, 'angle': np.float64(-5.659752224635854), 'velocity': 14.585944980908438}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-92.063286), 'veh7': -200, 'veh9': np.float32(-90.54623)}, 'veh3': {'veh12': np.float32(-95.073586), 'veh3': 0, 'veh7': np.float32(-123.45987), 'veh9': np.float32(-88.32547)}, 'veh7': {'veh12': -200, 'veh3': np.float32(-123.46062), 'veh7': 0, 'veh9': np.float32(-84.8289)}, 'veh9': {'veh12': np.float32(-91.77748), 'veh3': np.float32(-86.3768), 'veh7': np.float32(-84.82889), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-72.063286), 'veh7': -180, 'veh9': np.float32(-70.54623)}, 'veh3': {'veh12': np.float32(-75.073586), 'veh3': 0, 'veh7': np.float32(-103.45987), 'veh9': np.float32(-68.32547)}, 'veh7': {'veh12': -180, 'veh3': np.float32(-103.46062), 'veh7': 0, 'veh9': np.float32(-64.8289)}, 'veh9': {'veh12': np.float32(-71.77748), 'veh3': np.float32(-66.3768), 'veh7': np.float32(-64.82889), 'veh9': 0}}"
87 "[{'vehId': 'veh12', 'x_coor': 150.69943001703558, 'y_coor': 97.63069261840792, 'z_coor': 4.669326305389404, 'angle': np.float64(-5.7234721661829235), 'velocity': 6.57675728625618}, {'vehId': 'veh3', 'x_coor': 301.0187899277906, 'y_coor': 154.39050466593835, 'z_coor': 9.944003105163574, 'angle': np.float64(-2.69019105401732), 'velocity': 11.188902559593185}, {'vehId': 'veh7', 'x_coor': -40.338849575368386, 'y_coor': 29.169781517923354, 'z_coor': 8.059571266174316, 'angle': np.float64(-5.642560092568463), 'velocity': 4.229408361694448}, {'vehId': 'veh9', 'x_coor': 66.92577823182802, 'y_coor': 110.04686904435346, 'z_coor': 11.377726554870605, 'angle': np.float64(-5.659752224635854), 'velocity': 13.86369192173171}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-89.14712), 'veh7': -200, 'veh9': np.float32(-89.0146)}, 'veh3': {'veh12': np.float32(-90.38437), 'veh3': 0, 'veh7': np.float32(-125.99618), 'veh9': np.float32(-89.63055)}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': np.float32(-84.304825)}, 'veh9': {'veh12': np.float32(-89.01458), 'veh3': np.float32(-88.827484), 'veh7': np.float32(-84.300964), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-69.14712), 'veh7': -180, 'veh9': np.float32(-69.0146)}, 'veh3': {'veh12': np.float32(-70.38437), 'veh3': 0, 'veh7': np.float32(-105.99618), 'veh9': np.float32(-69.63055)}, 'veh7': {'veh12': -180, 'veh3': -180, 'veh7': 0, 'veh9': np.float32(-64.304825)}, 'veh9': {'veh12': np.float32(-69.01458), 'veh3': np.float32(-68.827484), 'veh7': np.float32(-64.300964), 'veh9': 0}}"
88 "[{'vehId': 'veh12', 'x_coor': 143.3762702691866, 'y_coor': 93.0425914283191, 'z_coor': 3.1445515155792236, 'angle': np.float64(-5.72349418085547), 'velocity': 8.624866746272893}, {'vehId': 'veh3', 'x_coor': 313.2921700397564, 'y_coor': 160.34045389125652, 'z_coor': 10.009614944458008, 'angle': np.float64(-2.6901910540173204), 'velocity': 13.64050658128304}, {'vehId': 'veh7', 'x_coor': -45.50811963844427, 'y_coor': 26.125128470538527, 'z_coor': 8.645377159118652, 'angle': np.float64(-5.762376446725156), 'velocity': 6.019793628483683}, {'vehId': 'veh9', 'x_coor': 55.60140908429173, 'y_coor': 101.89942182499982, 'z_coor': 11.641204833984375, 'angle': np.float64(-5.659330067592766), 'velocity': 13.977467129090122}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-117.8955), 'veh7': -200, 'veh9': np.float32(-89.217545)}, 'veh3': {'veh12': np.float32(-117.047485), 'veh3': 0, 'veh7': np.float32(-124.338875), 'veh9': np.float32(-90.75032)}, 'veh7': {'veh12': -200, 'veh3': np.float32(-124.34005), 'veh7': 0, 'veh9': np.float32(-81.44883)}, 'veh9': {'veh12': np.float32(-88.186676), 'veh3': np.float32(-90.3222), 'veh7': np.float32(-81.37485), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-97.8955), 'veh7': -180, 'veh9': np.float32(-69.217545)}, 'veh3': {'veh12': np.float32(-97.047485), 'veh3': 0, 'veh7': np.float32(-104.338875), 'veh9': np.float32(-70.75032)}, 'veh7': {'veh12': -180, 'veh3': np.float32(-104.34005), 'veh7': 0, 'veh9': np.float32(-61.44883)}, 'veh9': {'veh12': np.float32(-68.186676), 'veh3': np.float32(-70.3222), 'veh7': np.float32(-61.374847), 'veh9': 0}}"
89 "[{'vehId': 'veh12', 'x_coor': 134.27043983462175, 'y_coor': 87.30956173216993, 'z_coor': 1.3218718767166138, 'angle': np.float64(-5.718749082688082), 'velocity': 10.739528307388538}, {'vehId': 'veh3', 'x_coor': 326.7009085191891, 'y_coor': 166.84080769765512, 'z_coor': 10.140721321105957, 'angle': np.float64(-2.69019105401732), 'velocity': 14.902332023195797}, {'vehId': 'veh7', 'x_coor': -51.93011388171823, 'y_coor': 26.31447765339152, 'z_coor': 8.996219635009766, 'angle': np.float64(-6.458173197200998), 'velocity': 6.856713608812071}, {'vehId': 'veh9', 'x_coor': 43.71672999334544, 'y_coor': 93.34744798701496, 'z_coor': 11.917765617370605, 'angle': np.float64(-5.659455364558198), 'velocity': 14.619677730080925}]" "{'veh12': {'veh12': 0, 'veh3': np.float32(-103.46852), 'veh7': -200, 'veh9': np.float32(-90.8982)}, 'veh3': {'veh12': np.float32(-103.46489), 'veh3': 0, 'veh7': np.float32(-108.74526), 'veh9': np.float32(-92.0809)}, 'veh7': {'veh12': -200, 'veh3': np.float32(-108.745316), 'veh7': 0, 'veh9': np.float32(-80.75782)}, 'veh9': {'veh12': np.float32(-93.90849), 'veh3': np.float32(-91.43924), 'veh7': np.float32(-80.736786), 'veh9': 0}}" "{'veh12': {'veh12': 0, 'veh3': np.float32(-83.46852), 'veh7': -180, 'veh9': np.float32(-70.8982)}, 'veh3': {'veh12': np.float32(-83.46489), 'veh3': 0, 'veh7': np.float32(-88.74526), 'veh9': np.float32(-72.0809)}, 'veh7': {'veh12': -180, 'veh3': np.float32(-88.745316), 'veh7': 0, 'veh9': np.float32(-60.75782)}, 'veh9': {'veh12': np.float32(-73.90849), 'veh3': np.float32(-71.43924), 'veh7': np.float32(-60.736786), 'veh9': 0}}"
